bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,variable,value,outlier_1_99_flag
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,x_loan_loss_burden,64,TRUE
3232316,HSBC North America Holdings Inc.,2021,3,Supervisory Severely Adverse,x_loan_loss_burden,-42.99999999999999,TRUE
3232316,HSBC North America Holdings Inc.,2019,3,Supervisory Severely Adverse,x_loan_loss_burden,-39,TRUE
3232316,HSBC North America Holdings Inc.,2018,2,Supervisory Adverse,x_loan_loss_burden,18.999999999999996,TRUE
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,x_loan_loss_burden,-18.5,TRUE
3232316,HSBC North America Holdings Inc.,2020,30,Supervisory Alternative Severe,x_loan_loss_burden,-18,TRUE
1027004,Zions Bancorporation,2013,3,Supervisory Severely Adverse,x_loan_loss_burden,12.5,TRUE
3232316,HSBC North America Holdings Inc.,2023,3,Supervisory Severely Adverse,x_loan_loss_burden,-12,TRUE
3232316,HSBC North America Holdings Inc.,2014,3,Supervisory Severely Adverse,x_loan_loss_burden,-11.714285714285714,TRUE
1245415,BMO Financial Corp.,2020,30,Supervisory Alternative Severe,x_loan_loss_burden,9.142857142857144,TRUE
3232316,HSBC North America Holdings Inc.,2013,3,Supervisory Severely Adverse,x_loan_loss_burden,-9.09090909090909,TRUE
1245415,BMO Financial Corp.,2020,3,Supervisory Severely Adverse,x_loan_loss_burden,8.125,TRUE
1575569,"BNP Paribas USA, Inc.",2020,3,Supervisory Severely Adverse,x_loan_loss_burden,6.25,TRUE
1575569,"BNP Paribas USA, Inc.",2020,30,Supervisory Alternative Severe,x_loan_loss_burden,5.999999999999999,TRUE
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,x_observed_loss_burden,74,TRUE
3232316,HSBC North America Holdings Inc.,2019,3,Supervisory Severely Adverse,x_observed_loss_burden,-56,TRUE
3232316,HSBC North America Holdings Inc.,2021,3,Supervisory Severely Adverse,x_observed_loss_burden,-51.99999999999999,TRUE
2162966,Morgan Stanley,2013,3,Supervisory Severely Adverse,x_observed_loss_burden,42.75,TRUE
3232316,HSBC North America Holdings Inc.,2018,2,Supervisory Adverse,x_observed_loss_burden,28.999999999999996,TRUE
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,x_observed_loss_burden,-21.749999999999996,TRUE
3232316,HSBC North America Holdings Inc.,2020,30,Supervisory Alternative Severe,x_observed_loss_burden,-21.25,TRUE
2162966,Morgan Stanley,2012,3,Supervisory Severely Adverse,x_observed_loss_burden,16.666666666666668,TRUE
1027004,Zions Bancorporation,2013,3,Supervisory Severely Adverse,x_observed_loss_burden,13.999999999999998,TRUE
