"Projected stressed capital ratios and components, losses, revenues, net income before taxes, and loan losses",,,,,,,,,
Federal Reserve estimates: severely adverse scenario,,,,,,,,,
Aggregate Total,,,,,,,,,
Projected Common Equity Tier 1 Capital Ratio Minimum Quarter: PQ4,,,,,,,,,
Item,PQ1,PQ2,PQ3,PQ4,PQ5,PQ6,PQ7,PQ8,PQ9
Risk-weighted assets,12485.2,12478.8,12471.1,12471.2,12493.3,12506.5,12515.1,12522.0,12541.2
Total assets for leverage ratio,23484.3,23493.2,23496.8,23498.7,23502.7,23501.1,23497.2,23492.7,23493.7
Total leverage exposure,25324.9,25333.3,25336.7,25338.8,25342.6,25341.5,25338.1,25334.2,25335.4
Common equity tier 1 capital,1438.3,1420.1,1406.7,1397.6,1421.2,1456.7,1494.3,1529.8,1590.9
Tier 1 capital,1617.6,1599.5,1586.1,1577.0,1600.6,1636.1,1673.7,1709.1,1770.3
Total capital,1877.1,1865.3,1854.1,1845.4,1868.9,1903.5,1938.8,1971.2,2029.2
Common equity tier 1 capital ratio,11.5,11.4,11.3,11.2,11.4,11.6,11.9,12.2,12.7
Tier 1 capital ratio,13.0,12.8,12.7,12.6,12.8,13.1,13.4,13.6,14.1
Total capital ratio,15.0,14.9,14.9,14.8,15.0,15.2,15.5,15.7,16.2
Tier 1 leverage ratio,6.9,6.8,6.8,6.7,6.8,7.0,7.1,7.3,7.5
Supplementary leverage ratio,5.6,5.6,5.5,5.5,5.6,5.8,5.9,6.1,6.3
"Loan losses, total",50.7,56.7,67.7,80.3,83.0,77.7,74.1,72.1,62.6
"Loan losses, first-lien mortgages, domestic",0.3,0.8,1.4,2.3,3.2,3.9,3.8,3.5,3.4
"Loan losses, junior liens and HELOCs, domestic",0.6,0.5,0.5,0.6,0.7,0.8,0.5,0.5,0.6
"Loan losses, commercial and industrial",12.3,16.6,18.8,19.8,19.8,19.4,18.5,17.3,15.7
"Loan losses, corporate and business cards",1.5,2.3,3.0,3.5,3.8,3.9,3.9,3.7,3.4
"Loan losses, small business loans",0.7,1.2,1.5,1.7,1.8,1.8,1.7,1.6,1.4
"Loan losses, commercial real estate, domestic",3.0,5.1,6.9,10.3,9.6,10.4,11.1,11.6,8.5
"Loan losses, credit cards",21.2,17.0,21.3,27.1,30.4,23.9,21.9,21.6,18.5
"Loan losses, other consumer",4.0,4.9,6.0,7.0,6.5,6.7,6.6,6.6,5.8
"Loan losses, student loans",0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1
"Loan losses, auto loans",2.5,2.8,3.3,3.9,3.2,3.2,3.1,3.2,2.7
"Loan losses, other loans",9.2,11.8,12.8,13.2,12.8,12.5,11.7,11.0,10.0
"Loan losses, agricultural and farm loans",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Loan losses, loans to financial institutions",6.9,9.0,9.7,10.0,9.7,9.3,8.7,8.1,7.3
"Loan losses, loans for purchasing or carrying securities",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Loan loss rate, total",0.6,0.6,0.7,0.9,0.9,0.9,0.8,0.8,0.7
"Loan loss rate, first-lien mortgages, domestic",0.0,0.0,0.1,0.1,0.2,0.3,0.2,0.2,0.2
"Loan loss rate, junior liens and HELOCs, domestic",0.4,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.4
"Loan loss rate, commercial and industrial",0.7,0.9,1.1,1.1,1.1,1.1,1.1,1.0,0.9
"Loan loss rate, corporate and business cards",1.0,1.6,2.1,2.4,2.6,2.7,2.7,2.6,2.4
"Loan loss rate, small business loans",0.6,1.0,1.3,1.5,1.6,1.6,1.6,1.4,1.2
"Loan loss rate, commercial real estate, domestic",0.3,0.6,0.8,1.2,1.1,1.2,1.3,1.3,1.0
"Loan loss rate, credit cards",1.8,1.4,1.8,2.3,2.6,2.0,1.8,1.8,1.6
"Loan loss rate, other consumer",0.5,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.8
"Loan loss rate, student loans",0.4,0.7,0.9,1.1,1.0,1.2,1.1,1.2,1.0
