required_column,exists
bank_rssd_id,TRUE
bank_name,TRUE
exercise_year,TRUE
scenario_code,TRUE
scenario_label,TRUE
capital_model_sample,TRUE
y_capital_depletion,TRUE
y_capital_depletion_winsor,TRUE
y_credit_loss_ratio,TRUE
y_credit_loss_ratio_winsor,TRUE
y_ppnr_ratio,TRUE
y_ppnr_ratio_winsor,TRUE
x_initial_cet1,TRUE
x_initial_rwa,TRUE
x_rwa_growth,TRUE
x_rwa_growth_winsor,TRUE
x_ppnr_absorption,TRUE
x_ppnr_absorption_winsor,TRUE
x_loan_loss_burden,TRUE
x_loan_loss_burden_winsor,TRUE
x_observed_loss_burden,TRUE
x_observed_loss_burden_winsor,TRUE
cet1_actual_ratio,TRUE
cet1_min_ratio,TRUE
total_loan_losses_amount,TRUE
ppnr_amount,TRUE
pretax_net_income_amount,TRUE
rwa_actual_amount,TRUE
rwa_end_amount,TRUE
