exercise_year,scenario_label,observations
2015,Supervisory Adverse,34
2015,Supervisory Severely Adverse,34
2016,Supervisory Adverse,35
2016,Supervisory Severely Adverse,35
2017,Supervisory Adverse,36
2017,Supervisory Severely Adverse,36
2018,Supervisory Adverse,19
2018,Supervisory Severely Adverse,19
2019,Supervisory Severely Adverse,34
2020,Supervisory Alternative Severe,34
2020,Supervisory Severely Adverse,58
2021,Supervisory Severely Adverse,34
2022,Supervisory Severely Adverse,24
2023,Supervisory Severely Adverse,32
2024,Supervisory Severely Adverse,23
2025,Supervisory Severely Adverse,33
