bank_rssd_id,bank_name,observations,years,scenarios,mean_loss_ratio,max_loss_ratio
4504654,Synchrony Financial,1,1,1,0.15634525205158237,0.15634525205158237
3846375,Discover Financial Services,11,7,3,0.13494957747389597,0.15634525205158237
2277860,Capital One Financial Corporation,17,11,3,0.11801864179734094,0.15181711606096132
1275216,American Express Company,13,9,3,0.08923654292381641,0.1191028615622583
3981856,"Santander Holdings USA, Inc.",12,8,3,0.07162353622917494,0.09494773519163764
1075612,"First Citizens Bancshares, Inc.",1,1,1,0.06981858163826278,0.06981858163826278
1037003,M&T Bank Corporation,14,10,3,0.05624163548815764,0.08712121212121211
1575569,"BNP Paribas USA, Inc.",6,4,3,0.050040310735320406,0.05574136008918617
NA,31 participating banks,1,1,1,0.04966945176088891,0.04966945176088891
NA,32 participating banks,1,1,1,0.04965948012110905,0.04965948012110905
1025608,BancWest Corporation,2,1,2,0.049586776859504134,0.06198347107438017
1562859,Ally Financial Inc.,12,8,3,0.04951123177120769,0.06621287128712872
5005998,BancWest Corporation,2,1,2,0.04744069912609238,0.05867665418227216
3242838,Regions Financial Corporation,13,8,3,0.04737924727482224,0.06007905138339921
1132449,"Citizens Financial Group, Inc.",13,9,3,0.047151427616796436,0.05993520518358531
1070345,Fifth Third Bancorp,12,8,3,0.04711510767214976,0.06489881367759945
5280254,RBC US Group Holdings LLC,9,7,2,0.04667270208245061,0.05998286203941731
5006575,Barclays US LLC,13,9,3,0.046550228601316926,0.06002400960384153
NA,33 participating firms,3,2,2,0.04624327319865751,0.04959259437828455
1119794,U.S. Bancorp,17,11,3,0.04560159347966273,0.05749128919860627
NA,22 participating banks,1,1,1,0.04552865922488398,0.04552865922488398
1068191,Huntington Bancshares Incorporated,12,8,3,0.04529999915083372,0.0572737686139748
1027004,Zions Bancorporation,4,2,2,0.0449947003214137,0.05811623246492986
1074156,Truist Financial Corporation,9,7,2,0.04490412409174985,0.05015673981191222
1078529,"BBVA Compass Bancshares, Inc.",6,3,2,0.04486402255375327,0.0651851851851852
1245415,BMO Financial Corp.,15,10,3,0.04387319977963255,0.05284147557328016
3606542,TD Group US Holdings LLC,17,11,3,0.04229856354608625,0.05912269548633185
NA,23 participating banks,1,1,1,0.04202138730042319,0.04202138730042319
NA,33 participating banks,1,1,1,0.04145638712910269,0.04145638712910269
1068025,KeyCorp,12,8,3,0.040775227302738686,0.05346127484578478
1951350,Citigroup Inc.,17,11,3,0.03900250488324534,0.04708161374547292
1378434,MUFG Americas Holdings Corporation,10,5,3,0.038444625925388304,0.05202312138728324
1039502,JPMorgan Chase & Co.,17,11,3,0.03842755854779962,0.05098150782361308
NA,23 participating firms,1,1,1,0.0381184804440317,0.0381184804440317
1120754,Wells Fargo & Company,17,11,3,0.037543508179560293,0.04937762756574067
1069778,"The PNC Financial Services Group, Inc.",17,11,3,0.03568414289414056,0.04688427299703264
1074156,BB&T Corporation,6,3,2,0.035410143601692035,0.04740406320541761
NA,35 participating firms,2,1,2,0.034455638738451734,0.0427385313794202
3226762,RBC USA Holdco Corporation,2,1,2,0.03425655976676385,0.04518950437317785
NA,33 participating bank holding companies,2,1,2,0.0331888151243864,0.04011422496899459
NA,34 participating bank holding companies,2,1,2,0.032861995012980615,0.03931125773449766
3232316,HSBC North America Holdings Inc.,15,9,3,0.03279235215161503,0.05817610062893082
1036967,CIT Group Inc.,2,1,2,0.032507739938080496,0.04024767801857586
1131787,"SunTrust Banks, Inc.",6,3,2,0.031967280050063,0.04263786242183058
1073757,Bank of America Corporation,17,11,3,0.031773055518422376,0.04081079248864484
1032473,Deutsche Bank Trust Corporation,4,2,2,0.030227555756821012,0.04132231404958678
NA,18 participating firms,2,1,2,0.02982764084936249,0.03605646163972793
1199844,Comerica Incorporated,4,2,2,0.02542144906743185,0.032998565279770443
4846998,UBS Americas Holding LLC,13,9,3,0.02483468870769647,0.03818953323903819
1199611,Northern Trust Corporation,17,11,3,0.024524664813862743,0.03687150837988826
2380443,"The Goldman Sachs Group, Inc.",17,11,3,0.019357132414313895,0.03079884504331087
2816906,DB USA Corporation,13,9,3,0.014972700238457419,0.028125
2162966,Morgan Stanley,17,11,3,0.01433353404541537,0.02352691818567189
1026632,The Charles Schwab Corporation,5,5,1,0.01071562655489843,0.01408450704225352
3587146,The Bank of New York Mellon Corporation,17,11,3,0.009512412000624486,0.01313320825515947
1111435,State Street Corporation,17,11,3,0.009304860402870221,0.01611459265890779
1574834,"Credit Suisse Holdings (USA), Inc.",10,6,3,0.001917906815553192,0.00255427841634738
