bank_rssd_id,bank_name,observations,mean_actual,mean_predicted,mean_residual,rmse
2277860,Capital One Financial Corporation,17,0.11801864179734094,0.11801864179734102,-7.510392015966453e-17,0.015119641476117955
3846375,Discover Financial Services,11,0.13494957747389597,0.13494957747389608,-1.0471471761479609e-16,0.013344421529196678
1037003,M&T Bank Corporation,14,0.05624163548815764,0.056241635488157686,-4.85722573273506e-17,0.011227633737775775
1275216,American Express Company,13,0.08923654292381641,0.08923654292381639,2.6154357563415494e-17,0.009250353984872861
3232316,HSBC North America Holdings Inc.,15,0.03279235215161503,0.032792352151615065,-3.8163916471489756e-17,0.008964693800738902
3587146,The Bank of New York Mellon Corporation,17,0.009512412000624486,0.009512412000624549,-6.336862745372861e-17,0.008776498897496647
4846998,UBS Americas Holding LLC,13,0.02483468870769647,0.024834688707696496,-2.4153014178195257e-17,0.008158335463453776
1574834,"Credit Suisse Holdings (USA), Inc.",10,0.001917906815553192,0.0019179068155531888,3.165531530478771e-18,0.007416475983661113
3981856,"Santander Holdings USA, Inc.",12,0.07162353622917494,0.07162353622917497,-3.642919299551295e-17,0.007223053354259638
1111435,State Street Corporation,17,0.009304860402870221,0.009304860402870261,-3.892888687379536e-17,0.006850884975062716
5006575,Barclays US LLC,13,0.046550228601316926,0.04655022860131694,-1.3877787807814457e-17,0.006819745821553388
1078529,"BBVA Compass Bancshares, Inc.",6,0.04486402255375327,0.04486402255375329,-2.312964634635743e-17,0.005509635760297254
3606542,TD Group US Holdings LLC,17,0.04229856354608625,0.042298563546086264,-1.2857013455438054e-17,0.005441580789075486
1378434,MUFG Americas Holdings Corporation,10,0.038444625925388304,0.038444625925388394,-9.29811359607095e-17,0.005417806851973802
1119794,U.S. Bancorp,17,0.04560159347966273,0.04560159347966277,-4.285764989776449e-17,0.005002116364013313
2162966,Morgan Stanley,17,0.01433353404541537,0.014333534045415392,-2.346992522442768e-17,0.0047236043537533575
1025608,BancWest Corporation,2,0.049586776859504134,0.04768067860884555,0.0019060982506585895,0.004663816118790125
5280254,RBC US Group Holdings LLC,9,0.04667270208245061,0.046672702082450584,2.467169482607017e-17,0.0045761474464989975
5005998,BancWest Corporation,2,0.04744069912609238,0.04934679737675109,-0.001906098250658711,0.004368701187524551
1073757,Bank of America Corporation,17,0.031773055518422376,0.031773055518422424,-4.540861418208953e-17,0.0043386134765662256
1027004,Zions Bancorporation,4,0.0449947003214137,0.044994700321413755,-5.377642775528102e-17,0.004115112751152915
1070345,Fifth Third Bancorp,12,0.04711510767214976,0.04711510767214979,-3.180321960994213e-17,0.004056800782900426
2816906,DB USA Corporation,13,0.014972700238457419,0.01497270023845744,-2.0549736020575463e-17,0.004034971918125323
2380443,"The Goldman Sachs Group, Inc.",17,0.019357132414313895,0.01935713241431392,-2.7194279268037355e-17,0.004012754735769611
1199611,Northern Trust Corporation,17,0.024524664813862743,0.024524664813862784,-3.9490563140576495e-17,0.004004233205382847
1068025,KeyCorp,12,0.040775227302738686,0.04077522730273876,-7.864086816369419e-17,0.003786064053840311
3226762,RBC USA Holdco Corporation,2,0.03425655976676385,0.03425655976676392,-7.28583859910259e-17,0.003684180625345316
1562859,Ally Financial Inc.,12,0.04951123177120769,0.04951123177120789,-2.0498663191675058e-16,0.0035257968176033118
1245415,BMO Financial Corp.,15,0.04387319977963255,0.04387319977963257,-2.42861286636753e-17,0.003417919082222703
1575569,"BNP Paribas USA, Inc.",6,0.050040310735320406,0.05004031073532044,-3.469446951953614e-17,0.003399725874906256
1132449,"Citizens Financial Group, Inc.",13,0.047151427616796436,0.047151427616796485,-5.124093236224611e-17,0.003372149414704627
1069778,"The PNC Financial Services Group, Inc.",17,0.03568414289414056,0.03568414289414061,-4.8980327906057226e-17,0.0032261854821831284
1951350,Citigroup Inc.,17,0.03900250488324534,0.03900250488324536,-2.449026983214702e-17,0.0031328847989604476
3242838,Regions Financial Corporation,13,0.04737924727482224,0.04737924727482229,-4.830531163620438e-17,0.0029468597892213216
1068191,Huntington Bancshares Incorporated,12,0.04529999915083372,0.04529999915083379,-6.909982728300268e-17,0.002917592635534336
1039502,JPMorgan Chase & Co.,17,0.03842755854779962,0.03842755854779965,-3.4286392712646074e-17,0.002899609524163298
1120754,Wells Fargo & Company,17,0.037543508179560293,0.03754350817956034,-4.285788034055161e-17,0.0025798676658621714
1026632,The Charles Schwab Corporation,5,0.01071562655489843,0.010715626554898399,3.157205196607261e-17,0.0023337067232276215
1074156,Truist Financial Corporation,9,0.04490412409174985,0.044904124091749875,-2.7755575615628914e-17,0.0021289678972965663
1032473,Deutsche Bank Trust Corporation,4,0.030227555756821012,0.03022755575682099,2.0816681711721685e-17,0.0018618844895385807
1074156,BB&T Corporation,6,0.035410143601692035,0.03541014360169216,-1.3183898417423734e-16,0.0018506939908711794
NA,18 participating firms,2,0.02982764084936249,0.02982764084936259,-9.8879238130678e-17,0.0015730286771418796
NA,33 participating firms,3,0.04624327319865751,0.0462432731986575,6.938893903907228e-18,0.001523399053731079
1131787,"SunTrust Banks, Inc.",6,0.031967280050063,0.0319672800500631,-9.425334415444598e-17,0.0011942187190841958
NA,33 participating bank holding companies,2,0.0331888151243864,0.033188815124386394,6.938893903907228e-18,0.0010448362491505547
NA,34 participating bank holding companies,2,0.032861995012980615,0.032861995012980684,-6.765421556309548e-17,0.0010021519518195136
1036967,CIT Group Inc.,2,0.032507739938080496,0.03250773993808051,-1.0408340855860843e-17,7.656411392298161e-4
NA,35 participating firms,2,0.034455638738451734,0.03445563873845181,-7.632783294297951e-17,7.419442181060554e-4
1199844,Comerica Incorporated,4,0.02542144906743185,0.025421449067431972,-1.214306433183765e-16,6.7068823888889e-4
NA,22 participating banks,1,0.04552865922488398,0.04552865922488378,2.0122792321330962e-16,2.0122792321330962e-16
