required_column,exists
bank_rssd_id,TRUE
bank_name,TRUE
exercise_year,TRUE
scenario_code,TRUE
scenario_label,TRUE
credit_loss_model_sample,TRUE
y_credit_loss_ratio,TRUE
y_credit_loss_ratio_winsor,TRUE
y_credit_loss_rate,TRUE
y_credit_loss_rate_winsor,TRUE
x_initial_cet1,TRUE
x_initial_rwa,TRUE
x_rwa_growth,TRUE
x_rwa_growth_winsor,TRUE
x_ppnr_absorption,TRUE
x_ppnr_absorption_winsor,TRUE
x_ppnr_to_losses,TRUE
x_ppnr_to_losses_winsor,TRUE
x_provision_ratio,TRUE
x_provision_ratio_winsor,TRUE
total_loan_losses_amount,TRUE
rwa_actual_amount,TRUE
ppnr_amount,TRUE
