model_name,scenario_label,observations,mean_actual,mean_predicted,mean_residual,rmse,mae
M1_scenario_only,Supervisory Adverse,124,0.028089855463068632,0.028089855463068764,-1.307728019446136e-16,0.019933196254399297,0.012207251027700787
M1_scenario_only,Supervisory Alternative Severe,34,0.05131062819053021,0.051310628190530255,-4.6533237265072684e-17,0.031569503180483995,0.020101253806588313
M1_scenario_only,Supervisory Severely Adverse,362,0.045708255796469574,0.045708255796469546,2.89135351708861e-17,0.028862069688615734,0.018578225991140472
M2_pooled_controls,Supervisory Adverse,124,0.028089855463068632,0.028089855463068757,-1.2582476335047547e-16,0.020066518351378404,0.012607945141669895
M2_pooled_controls,Supervisory Alternative Severe,34,0.05131062819053021,0.05131062819053025,-3.683880816371163e-17,0.029902954412167834,0.018333811514139067
M2_pooled_controls,Supervisory Severely Adverse,362,0.045708255796469574,0.04570825579646954,3.488739589746093e-17,0.02772740564027544,0.017445723341858385
M3_year_fixed_effects,Supervisory Adverse,124,0.028089855463068632,0.028089855463068747,-1.1356134007692505e-16,0.019845726639550663,0.01305515225755766
M3_year_fixed_effects,Supervisory Alternative Severe,34,0.05131062819053021,0.051310628190530345,-1.3877787807814457e-16,0.02896128216987487,0.01794302262026027
M3_year_fixed_effects,Supervisory Severely Adverse,362,0.045708255796469574,0.045708255796469525,4.7727274106233856e-17,0.026676428365650345,0.016855162542183725
M4_bank_fixed_effects,Supervisory Adverse,124,0.028089855463068632,0.028089855463068872,-2.372521798127481e-16,0.007140142151620553,0.0052118111344585764
M4_bank_fixed_effects,Supervisory Alternative Severe,34,0.05131062819053021,0.05131062819053026,-5.165923776270172e-17,0.007503074674793704,0.005435826728904525
M4_bank_fixed_effects,Supervisory Severely Adverse,362,0.045708255796469574,0.04570825579646953,3.979239800296479e-17,0.006469528272878256,0.004583162503933781
M5_bank_year_fixed_effects,Supervisory Adverse,124,0.028089855463068632,0.02808985546306883,-1.9800362399047747e-16,0.006835306297987847,0.005010069754240432
M5_bank_year_fixed_effects,Supervisory Alternative Severe,34,0.05131062819053021,0.05131062819053033,-1.205380698938404e-16,0.007017109681357915,0.00537505860526767
M5_bank_year_fixed_effects,Supervisory Severely Adverse,362,0.045708255796469574,0.04570825579646955,1.8963411061049595e-17,0.005828440431267444,0.004170288010442625
M6_loss_rate_bank_year_fixed_effects,Supervisory Adverse,124,0.028089855463068632,3.808290322580669,-3.7802004671176,4.526060784970283,3.7954680394161415
M6_loss_rate_bank_year_fixed_effects,Supervisory Alternative Severe,34,0.05131062819053021,7.472941176470611,-7.42163054828008,7.8950707705384255,7.42163054828008
M6_loss_rate_bank_year_fixed_effects,Supervisory Severely Adverse,362,0.045708255796469574,6.511602209944759,-6.46589395414829,7.012781715284235,6.46589395414829
