bank_rssd_id,bank_name,n_years,n_scenarios,observations,mean_cet1_actual_ratio,mean_cet1_min_ratio,mean_cet1_depletion_min,max_cet1_depletion_min,total_loan_losses_amount,total_ppnr_amount,total_provision_amount,total_pretax_net_income_amount,mean_ppnr_loss_absorption_ratio,mean_rwa_growth_rate,aggregate_ppnr_to_losses_ratio
2816906,DB USA Corporation,9,3,13,24.815384615384616,16.96923076923077,7.846153846153846,13.3,7.3,-0.7999999999999998,8.8,-23.5,0.04145860010377444,-0.0504732723526492,-0.10958904109589039
2380443,"The Goldman Sachs Group, Inc.",14,3,22,13.931578947368422,8.89047619047619,4.88421052631579,9.3,208.9,386.5,215.9,-270.5,0.628312513575829,0.023979089829291134,1.8501675442795595
4846998,UBS Americas Holding LLC,9,3,13,20.43076923076923,15.707692307692307,4.723076923076923,9.3,20.8,34.5,26.6,0.5000000000000001,1.3738010122541895,-0.06039694781278649,1.658653846153846
2162966,Morgan Stanley,14,3,22,16.305263157894736,10.742857142857142,5.247368421052631,9.2,113.39999999999999,253.4,132.7,-187.5,0.6060890039718559,0.02642749014024943,2.234567901234568
3232316,HSBC North America Holdings Inc.,11,3,19,14.6,9.089473684210526,5.676470588235294,8.5,95.4,3.4,92.7,-105.7,0.033552926370960946,-3.232051524220477e-4,0.03563941299790356
1951350,Citigroup Inc.,14,3,22,13.33157894736842,9.642857142857142,3.7473684210526317,8.3,1009.2,1039.9,949.3,-239.7,0.8254485686136503,0.02640718541149208,1.0304201347602062
1574834,"Credit Suisse Holdings (USA), Inc.",6,3,10,24.509999999999998,18.67,5.84,7.5,1.2000000000000002,19.7,1,-13.6,0.5579904057000831,-0.04412530449941805,16.416666666666664
1111435,State Street Corporation,14,3,22,12.473684210526315,10.50952380952381,2.0473684210526315,6.9,19.4,112.6,23.4,57.9,2.542649320381687,0.02077018513499523,5.804123711340206
5280254,RBC US Group Holdings LLC,7,2,9,16.044444444444444,12.022222222222222,4.022222222222222,6.299999999999999,43.3,20.4,49.6,-32.8,0.4383302960945549,-0.027519859612287912,0.47113163972286376
1245415,BMO Financial Corp.,12,3,19,12.246666666666666,8.4,4.133333333333333,6,100.6,39.8,110,-70.3,0.48874492481198395,0.01988294867201444,0.3956262425447316
1027004,Zions Bancorporation,4,2,8,12.149999999999999,8.0625,3.1249999999999996,5.6,17.1,8.7,18,-10.7,0.5483337698474615,0.0887127574206228,0.5087719298245613
1575569,"BNP Paribas USA, Inc.",4,3,6,14.350000000000001,10,4.3500000000000005,5.4,28,8.6,31.6,-23.2,0.3279007820136853,0.01070175235229083,0.3071428571428571
2277860,Capital One Financial Corporation,14,3,22,11.989473684210527,8.614285714285714,3.4157894736842103,5.3999999999999995,756.9,650.5,786.3,-133.5,0.918860637447213,0.04361685976780576,0.8594266085348131
1039502,JPMorgan Chase & Co.,14,3,22,12.710526315789474,9.776190476190475,2.6578947368421053,4.999999999999999,1270.1,1482.9,1260.2,-290.3,0.9047739762859747,0.032412741880658465,1.1675458625305095
1073757,Bank of America Corporation,14,3,22,11.663157894736843,9.17142857142857,2.331578947368421,4.9,1047.9,972.7,1054,-415.5,0.7798846285876474,0.028995026701730275,0.9282374272354232
1068191,Huntington Bancshares Incorporated,10,3,16,9.85,8.14375,1.966666666666667,4.800000000000001,60.2,52.8,61.1,-10.3,0.9821119197047834,0.09183874664740212,0.8770764119601328
