bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,ppnr_loss_absorption_ratio,rwa_growth_rate,stress_rank
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,27.8,14.5,13.3,0.7,-1.7,-0.85,-0.09919571045576396,1
2816906,DB USA Corporation,2020,30,Supervisory Alternative Severe,31.5,19.5,12,0.8,-0.7,-0.41176470588235287,-0.09375,2
2816906,DB USA Corporation,2020,3,Supervisory Severely Adverse,31.5,19.8,11.7,0.9,-0.7,-0.3888888888888888,-0.09375,3
2816906,DB USA Corporation,2024,3,Supervisory Severely Adverse,23.7,12.7,11,0.6,-1,-0.4347826086956521,-0.09794988610478354,4
4846998,UBS Americas Holding LLC,2023,3,Supervisory Severely Adverse,19.3,10,9.3,2.5,-0.4,-0.15384615384615383,-0.13406292749658,5
2380443,"The Goldman Sachs Group, Inc.",2014,3,Supervisory Severely Adverse,15.1,5.8,9.3,2.2,2.4,0.0923076923076923,NA,6
2162966,Morgan Stanley,2017,3,Supervisory Severely Adverse,16.5,7.3,9.2,4.6,3,0.13392857142857142,0.03490259740259734,7
2162966,Morgan Stanley,2014,3,Supervisory Severely Adverse,15.2,6.3,8.899999999999999,2.6,4.1,0.18468468468468463,NA,8
2816906,DB USA Corporation,2022,3,Supervisory Severely Adverse,26.1,17.4,8.700000000000003,0.7,-0.4,-0.22222222222222224,-0.09793814432989684,9
3232316,HSBC North America Holdings Inc.,2020,30,Supervisory Alternative Severe,13.6,5.1,8.5,7.2,-0.4,-0.04705882352941176,-0.04716981132075471,10
2162966,Morgan Stanley,2016,3,Supervisory Severely Adverse,17.8,9.4,8.4,3.6,4.9,0.2752808988764045,0.0576131687242799,11
1951350,Citigroup Inc.,2014,3,Supervisory Severely Adverse,15.1,6.8,8.3,48.3,29.1,0.385430463576159,NA,12
2816906,DB USA Corporation,2025,3,Supervisory Severely Adverse,22.6,14.4,8.200000000000001,0.6,-0.5,-0.2777777777777778,-0.09267241379310338,13
4846998,UBS Americas Holding LLC,2022,3,Supervisory Severely Adverse,16.1,8,8.100000000000001,2.7,1.1,0.3928571428571429,-0.10891089108910897,14
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,13.6,5.5,8.1,7.4,-0.4,-0.04597701149425288,-0.04716981132075471,15
2816906,DB USA Corporation,2018,3,Supervisory Severely Adverse,22.9,14.8,8.099999999999998,0.4,-0.4,-0.2352941176470588,0.00547945205479459,16
2162966,Morgan Stanley,2018,3,Supervisory Severely Adverse,16.9,8.9,7.999999999999998,4.1,3.4,0.17708333333333334,8.167710318541012e-4,17
2816906,DB USA Corporation,2019,3,Supervisory Severely Adverse,26.2,18.4,7.800000000000001,0.4,-0.2,-0.1176470588235294,-0.08196721311475409,18
3232316,HSBC North America Holdings Inc.,2020,3,Supervisory Severely Adverse,14.8,7.3,7.500000000000001,6.4,0.1,0.01351351351351351,-0.04679376083188913,19
1574834,"Credit Suisse Holdings (USA), Inc.",2021,3,Supervisory Severely Adverse,27.6,20.1,7.5,0.1,4.9,1.1136363636363638,-0.0543293718166383,20
1574834,"Credit Suisse Holdings (USA), Inc.",2018,3,Supervisory Severely Adverse,25.8,18.4,7.400000000000002,0.1,2.3,0.46,-0.1011419249592169,21
3232316,HSBC North America Holdings Inc.,2014,3,Supervisory Severely Adverse,16.3,8.9,7.4,8.2,-0.7,-0.07777777777777779,NA,22
3232316,HSBC North America Holdings Inc.,2017,3,Supervisory Severely Adverse,15.5,8.1,7.4,4.1,-0.6,-0.1153846153846154,0.03108415466262315,23
1574834,"Credit Suisse Holdings (USA), Inc.",2022,3,Supervisory Severely Adverse,27.8,20.5,7.300000000000001,0,-0.8,-0.3076923076923077,-0.01121076233183856,24
2162966,Morgan Stanley,2015,3,Supervisory Severely Adverse,16.4,9.1,7.299999999999999,3.3,7.8,0.4020618556701031,0.11049875998897776,25
1574834,"Credit Suisse Holdings (USA), Inc.",2017,3,Supervisory Severely Adverse,24.7,17.6,7.099999999999998,0.1,1.6,0.43243243243243246,-0.0275650842266462,26
