variable,observations,non_missing,missing_share,mean,median,sd,min,max,p05,p25,p75,p95
cet1_actual_ratio,665,550,0.17293233082706766,13.406181818181818,12.2,5.015865353975667,8.4,64.4,9.5,10.8,14.5,21.9
cet1_depletion_end,665,550,0.17293233082706766,2.0432727272727274,1.9000000000000004,2.490422495480309,-10,13.3,-1.9000000000000004,0.8250000000000002,3.4000000000000004,5.854999999999995
cet1_depletion_min,665,550,0.17293233082706766,2.767818181818182,2.4000000000000004,2.1087468035864414,-1.8000000000000045,13.3,0.09999999999999964,1.299999999999999,3.9,6.6
cet1_end_ratio,665,646,0.02857142857142857,11.187306501547988,10.05,4.961919470007689,4.6,60.7,6.8,8.4,12.7,17.875
cet1_min_ratio,665,646,0.02857142857142857,10.51532507739938,9.6,4.514977363380161,4.6,60.7,6.624999999999999,8.125,11.4,16.7
leverage_depletion_min,665,665,0,1.7790977443609022,1.5999999999999996,1.1672485014883645,-0.6000000000000005,7.1,0.09999999999999964,1,2.5,3.8000000000000007
loan_loss_burden_on_ppnr,665,665,0,0.8957170525833372,0.9159663865546218,3.877291075004664,-42.99999999999999,64,0.05821428571428573,0.5163806552262091,1.3575418994413408,2.420035566093656
observed_loss_burden_on_ppnr,665,665,0,1.1910137272099,1.1111111111111112,5.1185215348995285,-56,74,0.15301837270341212,0.68,1.6176470588235294,3.6108843537414916
ppnr_amount,665,665,0,27.526315789473685,6.2,76.27463210150151,-3.7,719,0.7,3.1,20.4,71.43999999999998
ppnr_loss_absorption_ratio,665,665,0,1.1586115785092632,0.8511410788381744,1.3062428839832054,-0.85,17.4,0.1267857142857143,0.5862068965517241,1.3781512605042014,2.6340909090909044
ppnr_rate,665,665,0,3.082706766917293,2.5,2.898382163967156,-2.8,21.4,0.3,1.7,3.3,9.939999999999987
pretax_net_income_amount,665,665,0,-5.153233082706767,-1.1,32.342991818978625,-270.3,214.3,-30.419999999999998,-4.6,1.4,11.939999999999987
provision_amount,665,665,0,25.51218045112782,6.2,71.60913601244827,0,634.7,0.8,3,17.2,61.53999999999999
provision_to_loan_loss_ratio,665,664,0.0015037593984962407,1.0700982647032344,1.081081081081081,0.14943859106622195,0,1.4999999999999998,0.8288140161725067,0.9921368661837592,1.157798926928973,1.293820224719101
rwa_actual_amount,665,520,0.21804511278195488,658.5126923076923,143.85000000000002,1793.9698574915112,12.1,12583.7,54.1,99.10000000000001,389.32500000000005,1605.5449999999994
rwa_end_amount,665,646,0.02857142857142857,666.727399380805,143.55,1820.1021984020445,13,12541.2,53.775000000000006,101.25,393.3,1610.35
rwa_growth_rate,665,520,0.21804511278195488,0.02947504474562208,0.00542308917587676,0.06577658664692086,-0.24613003095975225,0.4195205479452056,-0.04909270853864638,-0.0076876547567407,0.0749814602652732,0.11624961918697094
tier1_depletion_min,665,665,0,2.7882706766917296,2.4000000000000004,2.079268186570465,-1.7999999999999972,12.4,0.09999999999999964,1.3000000000000007,3.9,6.959999999999992
total_capital_depletion_min,665,665,0,2.7974436090225563,2.4000000000000004,2.116567483652346,-2,12,0.09999999999999964,1.3999999999999986,3.8000000000000007,7.200000000000003
total_loan_losses_amount,665,665,0,25.046165413533835,5.9,70.57019120442585,0,624.9,0.7,2.7,16.9,60.2
total_loan_losses_rate,665,665,0,5.832631578947368,5.6,3.0621479130621934,0.5,21.3,1.9,3.7,6.9,11.8
