variable,variable_2,correlation
cet1_depletion_min,cet1_depletion_min,1
cet1_depletion_min,loan_loss_burden_on_ppnr,-0.06449079302780202
cet1_depletion_min,ppnr_amount,-0.05917931016472592
cet1_depletion_min,ppnr_loss_absorption_ratio,-0.43616171115426833
cet1_depletion_min,ppnr_rate,-0.3479953916896572
cet1_depletion_min,pretax_net_income_amount,-0.163406556240827
cet1_depletion_min,provision_amount,-0.01742985565999423
cet1_depletion_min,rwa_growth_rate,-0.2328106186869004
cet1_depletion_min,total_loan_losses_amount,-0.0222966145288924
cet1_depletion_min,total_loan_losses_rate,0.06923426409403415
loan_loss_burden_on_ppnr,cet1_depletion_min,-0.06449079302780202
loan_loss_burden_on_ppnr,loan_loss_burden_on_ppnr,1
loan_loss_burden_on_ppnr,ppnr_amount,0.001321986433718034
loan_loss_burden_on_ppnr,ppnr_loss_absorption_ratio,-0.04319795745619283
loan_loss_burden_on_ppnr,ppnr_rate,0.011302699689021612
loan_loss_burden_on_ppnr,pretax_net_income_amount,-0.028520327035426674
loan_loss_burden_on_ppnr,provision_amount,0.012867974457608346
loan_loss_burden_on_ppnr,rwa_growth_rate,0.024539540438214325
loan_loss_burden_on_ppnr,total_loan_losses_amount,0.013961965089582229
loan_loss_burden_on_ppnr,total_loan_losses_rate,0.04750809523533416
ppnr_amount,cet1_depletion_min,-0.05917931016472592
ppnr_amount,loan_loss_burden_on_ppnr,0.001321986433718034
ppnr_amount,ppnr_amount,1
ppnr_amount,ppnr_loss_absorption_ratio,-0.014598879931964273
ppnr_amount,ppnr_rate,0.014228197734044448
ppnr_amount,pretax_net_income_amount,-0.290085677566285
ppnr_amount,provision_amount,0.9442341388865771
ppnr_amount,rwa_growth_rate,0.023135679197798076
ppnr_amount,total_loan_losses_amount,0.9385618754224352
ppnr_amount,total_loan_losses_rate,0.03303578694154922
ppnr_loss_absorption_ratio,cet1_depletion_min,-0.43616171115426833
ppnr_loss_absorption_ratio,loan_loss_burden_on_ppnr,-0.04319795745619283
ppnr_loss_absorption_ratio,ppnr_amount,-0.014598879931964273
ppnr_loss_absorption_ratio,ppnr_loss_absorption_ratio,1
ppnr_loss_absorption_ratio,ppnr_rate,0.18936300432495282
ppnr_loss_absorption_ratio,pretax_net_income_amount,0.19536625346941974
ppnr_loss_absorption_ratio,provision_amount,-0.0760079637142425
ppnr_loss_absorption_ratio,rwa_growth_rate,0.15833769410448248
ppnr_loss_absorption_ratio,total_loan_losses_amount,-0.07850913870244393
ppnr_loss_absorption_ratio,total_loan_losses_rate,-0.3049732145517514
ppnr_rate,cet1_depletion_min,-0.3479953916896572
ppnr_rate,loan_loss_burden_on_ppnr,0.011302699689021612
ppnr_rate,ppnr_amount,0.014228197734044448
ppnr_rate,ppnr_loss_absorption_ratio,0.18936300432495282
ppnr_rate,ppnr_rate,1
ppnr_rate,pretax_net_income_amount,0.1320889754948256
ppnr_rate,provision_amount,-0.012273023833099502
ppnr_rate,rwa_growth_rate,0.17228469362803678
ppnr_rate,total_loan_losses_amount,-0.017606185264704803
ppnr_rate,total_loan_losses_rate,0.5656205702373612
pretax_net_income_amount,cet1_depletion_min,-0.163406556240827
pretax_net_income_amount,loan_loss_burden_on_ppnr,-0.028520327035426674
pretax_net_income_amount,ppnr_amount,-0.290085677566285
pretax_net_income_amount,ppnr_loss_absorption_ratio,0.19536625346941974
pretax_net_income_amount,ppnr_rate,0.1320889754948256
pretax_net_income_amount,pretax_net_income_amount,1
pretax_net_income_amount,provision_amount,-0.5782369898303583
pretax_net_income_amount,rwa_growth_rate,0.14698927566162526
pretax_net_income_amount,total_loan_losses_amount,-0.5783443486367541
pretax_net_income_amount,total_loan_losses_rate,-0.12134934241721905
provision_amount,cet1_depletion_min,-0.01742985565999423
provision_amount,loan_loss_burden_on_ppnr,0.012867974457608346
provision_amount,ppnr_amount,0.9442341388865771
provision_amount,ppnr_loss_absorption_ratio,-0.0760079637142425
provision_amount,ppnr_rate,-0.012273023833099502
provision_amount,pretax_net_income_amount,-0.5782369898303583
provision_amount,provision_amount,1
provision_amount,rwa_growth_rate,-0.028331367538306652
provision_amount,total_loan_losses_amount,0.9954432355207593
provision_amount,total_loan_losses_rate,0.08800629969344773
rwa_growth_rate,cet1_depletion_min,-0.2328106186869004
rwa_growth_rate,loan_loss_burden_on_ppnr,0.024539540438214325
rwa_growth_rate,ppnr_amount,0.023135679197798076
rwa_growth_rate,ppnr_loss_absorption_ratio,0.15833769410448248
rwa_growth_rate,ppnr_rate,0.17228469362803678
rwa_growth_rate,pretax_net_income_amount,0.14698927566162526
rwa_growth_rate,provision_amount,-0.028331367538306652
rwa_growth_rate,rwa_growth_rate,1
rwa_growth_rate,total_loan_losses_amount,-0.0389657231972193
rwa_growth_rate,total_loan_losses_rate,-0.16640669051595447
total_loan_losses_amount,cet1_depletion_min,-0.0222966145288924
total_loan_losses_amount,loan_loss_burden_on_ppnr,0.013961965089582229
total_loan_losses_amount,ppnr_amount,0.9385618754224352
total_loan_losses_amount,ppnr_loss_absorption_ratio,-0.07850913870244393
total_loan_losses_amount,ppnr_rate,-0.017606185264704803
total_loan_losses_amount,pretax_net_income_amount,-0.5783443486367541
total_loan_losses_amount,provision_amount,0.9954432355207593
total_loan_losses_amount,rwa_growth_rate,-0.0389657231972193
total_loan_losses_amount,total_loan_losses_amount,1
total_loan_losses_amount,total_loan_losses_rate,0.09261366492269327
total_loan_losses_rate,cet1_depletion_min,0.06923426409403415
total_loan_losses_rate,loan_loss_burden_on_ppnr,0.04750809523533416
total_loan_losses_rate,ppnr_amount,0.03303578694154922
total_loan_losses_rate,ppnr_loss_absorption_ratio,-0.3049732145517514
total_loan_losses_rate,ppnr_rate,0.5656205702373612
total_loan_losses_rate,pretax_net_income_amount,-0.12134934241721905
total_loan_losses_rate,provision_amount,0.08800629969344773
total_loan_losses_rate,rwa_growth_rate,-0.16640669051595447
total_loan_losses_rate,total_loan_losses_amount,0.09261366492269327
total_loan_losses_rate,total_loan_losses_rate,1
