variable,cet1_depletion_min,total_loan_losses_amount,total_loan_losses_rate,ppnr_amount,ppnr_rate,provision_amount,pretax_net_income_amount,rwa_growth_rate,ppnr_loss_absorption_ratio,loan_loss_burden_on_ppnr
cet1_depletion_min,1,-0.0222966145288924,0.06923426409403415,-0.05917931016472592,-0.3479953916896572,-0.01742985565999423,-0.163406556240827,-0.2328106186869004,-0.43616171115426833,-0.06449079302780202
total_loan_losses_amount,-0.0222966145288924,1,0.09261366492269327,0.9385618754224352,-0.017606185264704803,0.9954432355207593,-0.5783443486367541,-0.0389657231972193,-0.07850913870244393,0.013961965089582229
total_loan_losses_rate,0.06923426409403415,0.09261366492269327,1,0.03303578694154922,0.5656205702373612,0.08800629969344773,-0.12134934241721905,-0.16640669051595447,-0.3049732145517514,0.04750809523533416
ppnr_amount,-0.05917931016472592,0.9385618754224352,0.03303578694154922,1,0.014228197734044448,0.9442341388865771,-0.290085677566285,0.023135679197798076,-0.014598879931964273,0.001321986433718034
ppnr_rate,-0.3479953916896572,-0.017606185264704803,0.5656205702373612,0.014228197734044448,1,-0.012273023833099502,0.1320889754948256,0.17228469362803678,0.18936300432495282,0.011302699689021612
provision_amount,-0.01742985565999423,0.9954432355207593,0.08800629969344773,0.9442341388865771,-0.012273023833099502,1,-0.5782369898303583,-0.028331367538306652,-0.0760079637142425,0.012867974457608346
pretax_net_income_amount,-0.163406556240827,-0.5783443486367541,-0.12134934241721905,-0.290085677566285,0.1320889754948256,-0.5782369898303583,1,0.14698927566162526,0.19536625346941974,-0.028520327035426674
rwa_growth_rate,-0.2328106186869004,-0.0389657231972193,-0.16640669051595447,0.023135679197798076,0.17228469362803678,-0.028331367538306652,0.14698927566162526,1,0.15833769410448248,0.024539540438214325
ppnr_loss_absorption_ratio,-0.43616171115426833,-0.07850913870244393,-0.3049732145517514,-0.014598879931964273,0.18936300432495282,-0.0760079637142425,0.19536625346941974,0.15833769410448248,1,-0.04319795745619283
loan_loss_burden_on_ppnr,-0.06449079302780202,0.013961965089582229,0.04750809523533416,0.001321986433718034,0.011302699689021612,0.012867974457608346,-0.028520327035426674,0.024539540438214325,-0.04319795745619283,1
