variable,missing_share,missing_count,variable_class
supp_leverage_actual_ratio,0.6706766917293233,446,numeric
supp_leverage_end_ratio,0.5654135338345865,376,numeric
supp_leverage_min_ratio,0.5654135338345865,376,numeric
net_interest_income_amount,0.5338345864661654,355,numeric
noninterest_expense_amount,0.5338345864661654,355,numeric
noninterest_income_amount,0.5338345864661654,355,numeric
rwa_actual_amount,0.21804511278195488,145,numeric
rwa_change_amount,0.21804511278195488,145,numeric
rwa_growth_rate,0.21804511278195488,145,numeric
cet1_actual_ratio,0.17293233082706766,115,numeric
cet1_depletion_end,0.17293233082706766,115,numeric
cet1_depletion_min,0.17293233082706766,115,numeric
aoci_actual_amount,0.07969924812030076,53,numeric
aoci_change_amount,0.07969924812030076,53,numeric
other_revenue_amount,0.04962406015037594,33,numeric
bank_rssd_id,0.03308270676691729,22,numeric
aoci_end_amount,0.02857142857142857,19,numeric
cet1_end_ratio,0.02857142857142857,19,numeric
cet1_min_ratio,0.02857142857142857,19,numeric
rwa_end_amount,0.02857142857142857,19,numeric
provision_to_loan_loss_ratio,0.0015037593984962407,1,numeric
bank_name,0,0,character
exercise_name_std,0,0,character
exercise_quarter,0,0,character
exercise_year,0,0,numeric
leverage_depletion_end,0,0,numeric
leverage_depletion_min,0,0,numeric
loan_loss_burden_on_ppnr,0,0,numeric
observed_loss_burden_on_ppnr,0,0,numeric
other_losses_amount,0,0,numeric
ppnr_amount,0,0,numeric
ppnr_loss_absorption_ratio,0,0,numeric
ppnr_rate,0,0,numeric
pretax_income_to_ppnr_ratio,0,0,numeric
pretax_net_income_amount,0,0,numeric
pretax_net_income_rate,0,0,numeric
provision_amount,0,0,numeric
scenario_code,0,0,numeric
scenario_label,0,0,character
securities_losses_amount,0,0,numeric
tier1_actual_ratio,0,0,numeric
tier1_depletion_end,0,0,numeric
tier1_depletion_min,0,0,numeric
tier1_end_ratio,0,0,numeric
tier1_leverage_actual_ratio,0,0,numeric
tier1_leverage_end_ratio,0,0,numeric
tier1_leverage_min_ratio,0,0,numeric
tier1_min_ratio,0,0,numeric
total_capital_actual_ratio,0,0,numeric
total_capital_depletion_end,0,0,numeric
total_capital_depletion_min,0,0,numeric
total_capital_end_ratio,0,0,numeric
total_capital_min_ratio,0,0,numeric
total_loan_losses_amount,0,0,numeric
total_loan_losses_rate,0,0,numeric
total_market_operational_losses_amount,0,0,numeric
total_observed_losses_amount,0,0,numeric
trading_counterparty_losses_amount,0,0,numeric
