bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,variable,value,is_outlier
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,cet1_depletion_min,13.3,TRUE
2816906,DB USA Corporation,2020,30,Supervisory Alternative Severe,cet1_depletion_min,12,TRUE
2816906,DB USA Corporation,2020,3,Supervisory Severely Adverse,cet1_depletion_min,11.7,TRUE
2816906,DB USA Corporation,2024,3,Supervisory Severely Adverse,cet1_depletion_min,11,TRUE
2380443,"The Goldman Sachs Group, Inc.",2014,3,Supervisory Severely Adverse,cet1_depletion_min,9.3,TRUE
4846998,UBS Americas Holding LLC,2023,3,Supervisory Severely Adverse,cet1_depletion_min,9.3,TRUE
1026632,The Charles Schwab Corporation,2025,3,Supervisory Severely Adverse,cet1_depletion_min,-1.8000000000000045,TRUE
1026632,The Charles Schwab Corporation,2024,3,Supervisory Severely Adverse,cet1_depletion_min,-1.0000000000000036,TRUE
1026632,The Charles Schwab Corporation,2022,3,Supervisory Severely Adverse,cet1_depletion_min,-0.9000000000000021,TRUE
3587146,The Bank of New York Mellon Corporation,2017,2,Supervisory Adverse,cet1_depletion_min,-0.6999999999999993,TRUE
1026632,The Charles Schwab Corporation,2023,3,Supervisory Severely Adverse,cet1_depletion_min,-0.6999999999999993,TRUE
1199611,Northern Trust Corporation,2022,3,Supervisory Severely Adverse,cet1_depletion_min,-0.5999999999999996,TRUE
NA,32 participating banks,2025,3,Supervisory Severely Adverse,ppnr_amount,719,TRUE
NA,34 participating bank holding companies,2016,2,Supervisory Adverse,ppnr_amount,540.9,TRUE
NA,31 participating bank holding companies,2014,2,Supervisory Adverse,ppnr_amount,501.3,TRUE
NA,35 participating firms,2017,3,Supervisory Severely Adverse,ppnr_amount,492.3,TRUE
NA,33 participating bank holding companies,2015,2,Supervisory Adverse,ppnr_amount,474.8,TRUE
NA,22 participating banks,2024,3,Supervisory Severely Adverse,ppnr_amount,469.3,TRUE
NA,35 participating firms,2017,2,Supervisory Adverse,ppnr_amount,466.7,TRUE
1562859,Ally Financial Inc.,2012,3,Supervisory Severely Adverse,ppnr_amount,-3.7,TRUE
2816906,DB USA Corporation,2023,3,Supervisory Severely Adverse,ppnr_amount,-1.7,TRUE
3232316,HSBC North America Holdings Inc.,2016,3,Supervisory Severely Adverse,ppnr_amount,-1.4,TRUE
3232316,HSBC North America Holdings Inc.,2015,3,Supervisory Severely Adverse,ppnr_amount,-1.2,TRUE
3232316,HSBC North America Holdings Inc.,2013,3,Supervisory Severely Adverse,ppnr_amount,-1.1,TRUE
