dataset_name,variable,class,n_obs,n_missing,missing_share,n_unique
fed_dfast_results_clean,source_file,character,665,0,0,1
fed_dfast_results_clean,dataset_role,character,665,0,0,1
fed_dfast_results_clean,scenario_type,character,665,0,0,1
fed_dfast_results_clean,cleaned_at,character,665,0,0,1
fed_dfast_results_clean,exercise_name,character,665,0,0,15
fed_dfast_results_clean,dt_exercise_quarter,character,665,0,0,15
fed_dfast_results_clean,id_rssd,numeric,665,22,0.03308270676691729,45
fed_dfast_results_clean,disclosure_legal_name,character,665,0,0,61
fed_dfast_results_clean,scenario_id,numeric,665,0,0,3
fed_dfast_results_clean,scenario_name,character,665,0,0,3
fed_dfast_results_clean,tier1_common_actual_rat,numeric,665,520,0.7819548872180451,47
fed_dfast_results_clean,tier1_common_end_rat,numeric,665,520,0.7819548872180451,80
fed_dfast_results_clean,tier1_common_min_rat,numeric,665,520,0.7819548872180451,73
fed_dfast_results_clean,common_equity_tier1_actual_rat,numeric,665,115,0.17293233082706766,115
fed_dfast_results_clean,common_equity_tier1_end_rat,numeric,665,19,0.02857142857142857,153
fed_dfast_results_clean,common_equity_tier1_min_rat,numeric,665,19,0.02857142857142857,138
fed_dfast_results_clean,tier1_capital_actual_rat,numeric,665,0,0,121
fed_dfast_results_clean,tier1_capital_end_rat,numeric,665,0,0,165
fed_dfast_results_clean,tier1_capital_min_rat,numeric,665,0,0,143
fed_dfast_results_clean,total_capital_actual_rat,numeric,665,0,0,123
fed_dfast_results_clean,total_capital_end_rat,numeric,665,0,0,155
fed_dfast_results_clean,total_capital_min_rat,numeric,665,0,0,141
fed_dfast_results_clean,tier1_leverage_actual_rat,numeric,665,0,0,82
fed_dfast_results_clean,tier1_leverage_end_rat,numeric,665,0,0,102
fed_dfast_results_clean,tier1_leverage_min_rat,numeric,665,0,0,94
fed_dfast_results_clean,supp_leverage_actual_rat,numeric,665,446,0.6706766917293233,60
fed_dfast_results_clean,supp_leverage_end_rat,numeric,665,376,0.5654135338345865,74
fed_dfast_results_clean,supp_leverage_min_rat,numeric,665,376,0.5654135338345865,67
fed_dfast_results_clean,rwa_general_appr_actual_amt,numeric,665,539,0.8105263157894737,63
fed_dfast_results_clean,rwa_general_appr_end_amt,numeric,665,539,0.8105263157894737,123
fed_dfast_results_clean,rwa_standardized_appr_actual_amt,numeric,665,145,0.21804511278195488,347
fed_dfast_results_clean,rwa_standardized_appr_end_amt,numeric,665,19,0.02857142857142857,586
fed_dfast_results_clean,loss_total_loan_amt,numeric,665,0,0,284
fed_dfast_results_clean,loss_total_loan_rate,numeric,665,0,0,131
fed_dfast_results_clean,loss_dom_first_mtg_amt,numeric,665,0,0,83
fed_dfast_results_clean,loss_dom_first_mtg_rate,numeric,665,0,0,83
fed_dfast_results_clean,loss_dom_jr_lien_heloc_amt,numeric,665,0,0,62
fed_dfast_results_clean,loss_dom_jr_lien_heloc_rate,numeric,665,0,0,123
fed_dfast_results_clean,loss_comml_ind_loan_amt,numeric,665,0,0,154
fed_dfast_results_clean,loss_comml_ind_loan_rate,numeric,665,0,0,148
fed_dfast_results_clean,loss_dom_cre_loan_amt,numeric,665,0,0,106
fed_dfast_results_clean,loss_dom_cre_loan_rate,numeric,665,0,0,165
fed_dfast_results_clean,loss_credit_card_loan_amt,numeric,665,0,0,171
fed_dfast_results_clean,loss_credit_card_loan_rate,numeric,665,0,0,159
fed_dfast_results_clean,loss_other_consumer_loan_amt,numeric,665,0,0,89
fed_dfast_results_clean,loss_other_consumer_loan_rate,numeric,665,0,0,160
fed_dfast_results_clean,loss_other_loan_amt,numeric,665,0,0,111
fed_dfast_results_clean,loss_other_loan_rate,numeric,665,0,0,89
fed_dfast_results_clean,revenue_preprovision_net_amt,numeric,665,0,0,322
fed_dfast_results_clean,revenue_preprovision_net_rate,numeric,665,0,0,106
fed_dfast_results_clean,income_net_interest_amt,numeric,665,355,0.5338345864661654,226
fed_dfast_results_clean,income_net_interest_rate,numeric,665,355,0.5338345864661654,92
fed_dfast_results_clean,income_noninterest_amt,numeric,665,355,0.5338345864661654,221
fed_dfast_results_clean,income_noninterest_rate,numeric,665,355,0.5338345864661654,101
fed_dfast_results_clean,expense_noninterest_amt,numeric,665,355,0.5338345864661654,224
fed_dfast_results_clean,expense_noninterest_rate,numeric,665,355,0.5338345864661654,79
fed_dfast_results_clean,revenue_other_amt,numeric,665,33,0.04962406015037594,9
fed_dfast_results_clean,provision_amt,numeric,665,0,0,293
fed_dfast_results_clean,loss_securities_amt,numeric,665,0,0,50
fed_dfast_results_clean,loss_trading_counterparty_amt,numeric,665,0,0,140
fed_dfast_results_clean,loss_other_amt,numeric,665,0,0,87
fed_dfast_results_clean,income_pretax_net_amt,numeric,665,0,0,286
fed_dfast_results_clean,income_pretax_net_rate,numeric,665,0,0,91
fed_dfast_results_clean,income_other_comprehensive_amt,numeric,665,19,0.02857142857142857,118
fed_dfast_results_clean,aoci_incl_capital_actual_amt,numeric,665,53,0.07969924812030076,95
fed_dfast_results_clean,aoci_incl_capital_end_amt,numeric,665,19,0.02857142857142857,122
fed_dfast_nine_quarter_paths_clean,source_file,character,69,0,0,1
fed_dfast_nine_quarter_paths_clean,dataset_role,character,69,0,0,1
fed_dfast_nine_quarter_paths_clean,scenario_type,character,69,0,0,1
fed_dfast_nine_quarter_paths_clean,cleaned_at,character,69,0,0,1
fed_dfast_nine_quarter_paths_clean,projected_stressed_capital_ratios_and_components_losses_revenues_net_income_before_taxes_and_loan_losses,character,69,0,0,69
fed_dfast_nine_quarter_paths_clean,x2,numeric,69,4,0.057971014492753624,51
fed_dfast_nine_quarter_paths_clean,x3,numeric,69,4,0.057971014492753624,51
fed_dfast_nine_quarter_paths_clean,x4,numeric,69,4,0.057971014492753624,52
fed_dfast_nine_quarter_paths_clean,x5,numeric,69,4,0.057971014492753624,54
fed_dfast_nine_quarter_paths_clean,x6,numeric,69,4,0.057971014492753624,50
fed_dfast_nine_quarter_paths_clean,x7,numeric,69,4,0.057971014492753624,53
fed_dfast_nine_quarter_paths_clean,x8,numeric,69,4,0.057971014492753624,56
fed_dfast_nine_quarter_paths_clean,x9,numeric,69,4,0.057971014492753624,56
fed_dfast_nine_quarter_paths_clean,x10,numeric,69,4,0.057971014492753624,52
fed_macro_historic_domestic_clean,source_file,character,200,0,0,1
fed_macro_historic_domestic_clean,dataset_role,character,200,0,0,1
fed_macro_historic_domestic_clean,scenario_type,character,200,0,0,1
fed_macro_historic_domestic_clean,cleaned_at,character,200,0,0,1
fed_macro_historic_domestic_clean,scenario_name,character,200,0,0,1
fed_macro_historic_domestic_clean,date,character,200,0,0,200
fed_macro_historic_domestic_clean,real_gdp_growth,numeric,200,0,0,93
fed_macro_historic_domestic_clean,nominal_gdp_growth,numeric,200,0,0,104
fed_macro_historic_domestic_clean,real_disposable_income_growth,numeric,200,0,0,99
fed_macro_historic_domestic_clean,nominal_disposable_income_growth,numeric,200,0,0,105
fed_macro_historic_domestic_clean,unemployment_rate,numeric,200,0,0,60
fed_macro_historic_domestic_clean,cpi_inflation_rate,numeric,200,0,0,88
fed_macro_historic_domestic_clean,x3_month_treasury_rate,numeric,200,0,0,86
fed_macro_historic_domestic_clean,x5_year_treasury_yield,numeric,200,0,0,95
fed_macro_historic_domestic_clean,x10_year_treasury_yield,numeric,200,0,0,93
fed_macro_historic_domestic_clean,bbb_corporate_yield,numeric,200,51,0.255,63
fed_macro_historic_domestic_clean,mortgage_rate,numeric,200,0,0,95
fed_macro_historic_domestic_clean,prime_rate,numeric,200,0,0,78
fed_macro_historic_domestic_clean,dow_jones_total_stock_market_index_level,numeric,200,44,0.22,156
fed_macro_historic_domestic_clean,house_price_index_level,numeric,200,0,0,189
fed_macro_historic_domestic_clean,commercial_real_estate_price_index_level,numeric,200,0,0,186
fed_macro_historic_domestic_clean,market_volatility_index_level,numeric,200,56,0.28,120
fed_macro_baseline_domestic_clean,source_file,character,13,0,0,1
