dataset_name,source_file,dataset_role,scenario_type,cleaned_at,exercise_name,dt_exercise_quarter,id_rssd,disclosure_legal_name,scenario_id,scenario_name,tier1_common_actual_rat,tier1_common_end_rat,tier1_common_min_rat,common_equity_tier1_actual_rat,common_equity_tier1_end_rat,common_equity_tier1_min_rat,tier1_capital_actual_rat,tier1_capital_end_rat,tier1_capital_min_rat,total_capital_actual_rat,total_capital_end_rat,total_capital_min_rat,tier1_leverage_actual_rat,tier1_leverage_end_rat,tier1_leverage_min_rat,supp_leverage_actual_rat,supp_leverage_end_rat,supp_leverage_min_rat,rwa_general_appr_actual_amt,rwa_general_appr_end_amt,rwa_standardized_appr_actual_amt,rwa_standardized_appr_end_amt,loss_total_loan_amt,loss_total_loan_rate,loss_dom_first_mtg_amt,loss_dom_first_mtg_rate,loss_dom_jr_lien_heloc_amt,loss_dom_jr_lien_heloc_rate,loss_comml_ind_loan_amt,loss_comml_ind_loan_rate,loss_dom_cre_loan_amt,loss_dom_cre_loan_rate,loss_credit_card_loan_amt,loss_credit_card_loan_rate,loss_other_consumer_loan_amt,loss_other_consumer_loan_rate,loss_other_loan_amt,loss_other_loan_rate,revenue_preprovision_net_amt,revenue_preprovision_net_rate,income_net_interest_amt,income_net_interest_rate,income_noninterest_amt,income_noninterest_rate,expense_noninterest_amt,expense_noninterest_rate,revenue_other_amt,provision_amt,loss_securities_amt,loss_trading_counterparty_amt,loss_other_amt,income_pretax_net_amt,income_pretax_net_rate,income_other_comprehensive_amt,aoci_incl_capital_actual_amt,aoci_incl_capital_end_amt,projected_stressed_capital_ratios_and_components_losses_revenues_net_income_before_taxes_and_loan_losses,x2,x3,x4,x5,x6,x7,x8,x9,x10,date,real_gdp_growth,nominal_gdp_growth,real_disposable_income_growth,nominal_disposable_income_growth,unemployment_rate,cpi_inflation_rate,x3_month_treasury_rate,x5_year_treasury_yield,x10_year_treasury_yield,bbb_corporate_yield,mortgage_rate,prime_rate,dow_jones_total_stock_market_index_level,house_price_index_level,commercial_real_estate_price_index_level,market_volatility_index_level
fed_dfast_results_clean,fed_public_results_DFAST_2026.csv,DFAST public results benchmark,supervisory stress test results,2026-06-29 18:30:19.161708,DFAST 2013,9/30/2012,NA,18 participating bank holding companies,3,Supervisory Severely Adverse,11.1,7.7,7.4,NA,NA,NA,12.9,9.1,8.9,15.7,11.7,11.6,8,5.9,5.9,NA,NA,NA,NA,NA,NA,NA,316.6,7.5,60.1,6.6,37.2,9.6,60.5,6.8,32.9,8,87.1,16.7,26.8,6.1,11.9,1.8,267.8,2.4,NA,NA,NA,NA,NA,NA,1.2,317.2,12.9,97,36,-194.1,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_results_clean,fed_public_results_DFAST_2026.csv,DFAST public results benchmark,supervisory stress test results,2026-06-29 18:30:19.161708,DFAST 2013,9/30/2012,1562859,Ally Financial Inc.,3,Supervisory Severely Adverse,7.3,1.5,1.5,NA,NA,NA,13.6,11,11,14.6,12.6,12.6,11.3,9.4,9.4,NA,NA,NA,NA,NA,NA,NA,4.5,5.2,0.3,6,0.2,9.3,1.4,5.2,0.1,6.5,0,0,2.4,4.9,0,1.8,-3.7,-2.8,NA,NA,NA,NA,NA,NA,0.3,5.1,0.7,0,0,-9.3,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_results_clean,fed_public_results_DFAST_2026.csv,DFAST public results benchmark,supervisory stress test results,2026-06-29 18:30:19.161708,DFAST 2013,9/30/2012,1275216,American Express Company,3,Supervisory Severely Adverse,12.7,11.3,11.1,NA,NA,NA,12.7,11.3,11.1,14.7,13.4,13.2,10.7,9.5,8.9,NA,NA,NA,NA,NA,NA,NA,10.7,11.2,0,0,0,0,2.6,9.4,0,0,8,12,0,0,0,4.5,15.4,11,NA,NA,NA,NA,NA,NA,0,14.2,0,0,0.4,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_results_clean,fed_public_results_DFAST_2026.csv,DFAST public results benchmark,supervisory stress test results,2026-06-29 18:30:19.161708,DFAST 2013,9/30/2012,1073757,Bank of America Corporation,3,Supervisory Severely Adverse,11.4,6.9,6.8,NA,NA,NA,13.6,8.5,8.5,17.2,11.6,11.6,7.8,5.4,5.4,NA,NA,NA,NA,NA,NA,NA,57.5,6.9,15.3,5.9,9.4,10,8.5,5.1,4.7,8.6,15.3,16.2,3,4.3,1.3,1.3,24.1,1.3,NA,NA,NA,NA,NA,NA,1,49.7,0.5,14.1,12.5,-51.8,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_results_clean,fed_public_results_DFAST_2026.csv,DFAST public results benchmark,supervisory stress test results,2026-06-29 18:30:19.161708,DFAST 2013,9/30/2012,1074156,BB&T Corporation,3,Supervisory Severely Adverse,9.5,9.4,9.4,NA,NA,NA,10.9,11.2,11.2,14,13.4,13.4,7.9,8.3,7.9,NA,NA,NA,NA,NA,NA,NA,5.9,5.5,0.9,2.8,0.4,6.1,1.1,7.2,2.1,7.1,0.3,16.6,0.9,7,0.3,3,7.1,4.1,NA,NA,NA,NA,NA,NA,0,6.4,0.1,0,0.1,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_nine_quarter_paths_clean,fed_2026_Detailed_Nine_Quarter_Paths.csv,DFAST detailed nine-quarter paths,supervisory stress test paths,2026-06-29 18:30:19.172763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Federal Reserve estimates: severely adverse scenario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_nine_quarter_paths_clean,fed_2026_Detailed_Nine_Quarter_Paths.csv,DFAST detailed nine-quarter paths,supervisory stress test paths,2026-06-29 18:30:19.172763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aggregate Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_nine_quarter_paths_clean,fed_2026_Detailed_Nine_Quarter_Paths.csv,DFAST detailed nine-quarter paths,supervisory stress test paths,2026-06-29 18:30:19.172763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Projected Common Equity Tier 1 Capital Ratio Minimum Quarter: PQ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_nine_quarter_paths_clean,fed_2026_Detailed_Nine_Quarter_Paths.csv,DFAST detailed nine-quarter paths,supervisory stress test paths,2026-06-29 18:30:19.172763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Item,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fed_dfast_nine_quarter_paths_clean,fed_2026_Detailed_Nine_Quarter_Paths.csv,DFAST detailed nine-quarter paths,supervisory stress test paths,2026-06-29 18:30:19.172763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Risk-weighted assets,12485.2,12478.8,12471.1,12471.2,12493.3,12506.5,12515.1,12522,12541.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
