dataset,required_column,exists
final_results,bank_rssd_id,TRUE
final_results,bank_name,TRUE
final_results,exercise_year,TRUE
final_results,scenario_code,TRUE
final_results,scenario_label,TRUE
final_results,actual_credit_loss_ratio,TRUE
final_results,predicted_credit_loss_ratio,TRUE
final_results,actual_ppnr_ratio,TRUE
final_results,predicted_ppnr_ratio,TRUE
final_results,actual_capital_depletion,TRUE
final_results,predicted_capital_depletion,TRUE
final_results,observed_cet1_min_ratio,TRUE
final_results,integrated_predicted_cet1_min_ratio,TRUE
validation_panel,bank_rssd_id,TRUE
validation_panel,bank_name,TRUE
validation_panel,exercise_year,TRUE
validation_panel,scenario_code,TRUE
validation_panel,scenario_label,TRUE
validation_panel,cet1_min_prediction_error,TRUE
validation_panel,abs_cet1_min_prediction_error,TRUE
validation_panel,cet1_min_validation_flag,TRUE
validation_panel,classification_match_4_5,TRUE
validation_panel,classification_match_7,TRUE
model_risk_panel,bank_rssd_id,TRUE
model_risk_panel,bank_name,TRUE
model_risk_panel,exercise_year,TRUE
model_risk_panel,scenario_code,TRUE
model_risk_panel,scenario_label,TRUE
model_risk_panel,model_risk_bucket,TRUE
model_risk_panel,model_risk_score,TRUE
model_risk_panel,threshold_miss_flag,TRUE
model_risk_panel,near_7_threshold,TRUE
model_risk_panel,near_4_5_threshold,TRUE
