latest_year_rank_composite,bank_name,min_predicted_cet1_min_ratio,min_observed_cet1_min_ratio,max_predicted_capital_depletion,max_predicted_credit_loss_ratio,min_predicted_ppnr_ratio,worst_scenario_by_predicted_cet1
1,"First Citizens Bancshares, Inc.",6.700000000000003,6.7,4.4999999999999964,0.06981858163826275,0.03573391973611872,Supervisory Severely Adverse
2,HSBC North America Holdings Inc.,7.409435617270326,8.1,3.8905643827296754,0.03991681482832918,0.00255554786638956,Supervisory Severely Adverse
3,BMO Financial Corp.,10.055723936386132,10.1,3.944276063613868,0.05183046580319273,0.03429624417299722,Supervisory Severely Adverse
4,Ally Financial Inc.,8.136001070749833,7.8,2.0639989292501664,0.05783726823983857,0.04838817477099485,Supervisory Severely Adverse
5,"Citizens Financial Group, Inc.",8.57079670886103,8.6,2.0292032911389697,0.05551664584535965,0.04129179881899678,Supervisory Severely Adverse
6,Capital One Financial Corporation,9.99490869983584,11,4.305091300164159,0.126472802211039,0.1170140546259197,Supervisory Severely Adverse
7,M&T Bank Corporation,9.012284902044405,9.2,1.7877150979555985,0.06515537013487996,0.05897487418575353,Supervisory Severely Adverse
8,KeyCorp,9.650704204816448,9.9,2.1492957951835536,0.04841007874504823,0.04429435205409671,Supervisory Severely Adverse
9,Wells Fargo & Company,8.616848028490876,9.2,1.9831519715091237,0.04447908527293305,0.05131619804570249,Supervisory Severely Adverse
10,Huntington Bancshares Incorporated,8.937265918775,9.3,1.462734081225001,0.05455746969044857,0.05633970148969412,Supervisory Severely Adverse
11,Fifth Third Bancorp,9.564261553339335,9.7,1.235738446660663,0.05603937369094672,0.05215176778785609,Supervisory Severely Adverse
12,RBC US Group Holdings LLC,13.496070328483718,13.7,3.703929671516282,0.04837855997951875,0.03993348327152153,Supervisory Severely Adverse
13,Truist Financial Corporation,9.357063825278804,9.7,1.4429361747211953,0.04634883209784538,0.0476854795267491,Supervisory Severely Adverse
14,Citigroup Inc.,10.414472062407189,10.3,2.7855279375928115,0.04635153286057074,0.05272150924795033,Supervisory Severely Adverse
15,DB USA Corporation,15.746023922764708,14.4,6.853976077235295,0.01742108470310597,0.01091872578081025,Supervisory Severely Adverse
16,Regions Financial Corporation,10.100204077293208,10.3,0.7997959227067926,0.05571397726212825,0.05206207865878975,Supervisory Severely Adverse
17,U.S. Bancorp,9.906620326421791,9.8,0.8933796735782074,0.05381682220102219,0.06377687081145066,Supervisory Severely Adverse
18,Bank of America Corporation,9.99309403016636,9.9,1.406905969833639,0.03975730667171529,0.04246052450938039,Supervisory Severely Adverse
19,"The PNC Financial Services Group, Inc.",9.712715636022084,10.3,0.887284363977916,0.0437627891551174,0.05062342336064152,Supervisory Severely Adverse
20,TD Group US Holdings LLC,14.39043177300758,14,2.109568226992419,0.04782208361865137,0.04252586883541739,Supervisory Severely Adverse
