bank_model_risk_rank,bank_name,observations,cet1_rmse,cet1_mae,max_abs_cet1_error,high_model_risk_observations,threshold_miss_observations,max_model_risk_score
1,HSBC North America Holdings Inc.,14,1.1591378477539218,0.9577694981173226,2.197298415222813,3,2,0.9323588709677418
2,State Street Corporation,16,1.569426455716176,1.2020268555644325,4.465252648433869,2,1,0.8837701612903226
3,BMO Financial Corp.,14,0.8293020768325866,0.6986953219973403,1.3868427348306476,2,2,0.8623991935483871
4,UBS Americas Holding LLC,12,1.0229083491098503,0.7775894369286663,2.1495337035991255,1,0,0.8576612903225806
5,Capital One Financial Corporation,16,0.5984675000695866,0.4751920835689431,1.2112600018284931,3,3,0.8333669354838709
6,Morgan Stanley,16,1.044642573458992,0.8322445723712917,2.2553280489634036,1,0,0.8150201612903225
7,Discover Financial Services,11,0.9280717902121292,0.6870612280618821,2.278019654806103,1,0,0.8105846774193548
8,The Bank of New York Mellon Corporation,16,0.9426595286581164,0.8157117267948312,1.5517826825085963,0,0,0.8028225806451612
9,"The Goldman Sachs Group, Inc.",16,1.1002585316813334,0.9117777138828468,2.076272042252157,1,0,0.7932459677419355
10,"Credit Suisse Holdings (USA), Inc.",9,1.3542142582994228,0.960232230795242,3.3509616556795336,1,0,0.7856854838709677
11,"The PNC Financial Services Group, Inc.",16,0.6439144926841391,0.4888335356397748,1.5668133338215204,1,1,0.7780241935483871
12,TD Group US Holdings LLC,16,0.8375786004358661,0.7173087574573596,1.866623633754596,0,0,0.7775201612903226
13,DB USA Corporation,12,2.442131209462194,1.9454974732020824,5.0721321569668625,5,0,0.7482862903225806
14,KeyCorp,12,0.5886617346757702,0.41909408412083754,1.3043717233216654,1,1,0.7461693548387097
15,U.S. Bancorp,16,0.41202397502987737,0.3603098077519076,0.9008573963999762,2,2,0.7454637096774194
16,M&T Bank Corporation,14,0.40774253364141705,0.3368494459212911,0.91751079685955,0,0,0.7434475806451613
17,Zions Bancorporation,4,0.44762250257901687,0.3652071041788014,0.7304142083576011,1,1,0.7361895161290323
18,Huntington Bancshares Incorporated,12,0.6980343154189403,0.5215961103631296,1.6203234798177686,1,1,0.7280241935483871
19,The Charles Schwab Corporation,5,0.7406714678573344,0.6407413093594101,1.340771895404906,0,0,0.7124999999999999
20,Citigroup Inc.,16,0.7421967177446319,0.6076009582620523,1.5727911583409684,0,0,0.7094758064516129
