exercise_year,scenario_code,scenario_label,observations,banks,mean_predicted_credit_loss_ratio,median_predicted_credit_loss_ratio,mean_predicted_ppnr_ratio,median_predicted_ppnr_ratio,mean_predicted_capital_depletion,median_predicted_capital_depletion,mean_predicted_cet1_min_ratio,min_predicted_cet1_min_ratio,mean_observed_cet1_min_ratio,min_observed_cet1_min_ratio,observations_below_4_5,observations_below_7,mean_composite_vulnerability_score,rmse_cet1_min_ratio,mae_cet1_min_ratio
2015,2,Supervisory Adverse,34,34,0.029329075155094562,0.02709427145362287,0.04735692817436404,0.04061321568284605,1.5527197270705697,1.4258418036115672,10.947280272929431,7.88985545430874,10.885294117647058,7.7,0,0,0.36689101043643263,0.6932038857644913,0.5187715162499863
2015,3,Supervisory Severely Adverse,34,34,0.04544656128131669,0.04340453427480692,0.04306674168406228,0.03612373812787437,3.676692037635324,3.6886231225335813,8.823307962364677,5.972050009756535,8.885294117647058,5,0,8,0.6498873339658444,0.6755449151345065,0.5237727518877584
2016,2,Supervisory Adverse,35,35,0.029847786259042646,0.02609095932957518,0.05331766409364401,0.04679759182533795,1.216467568611379,0.9865613744610549,12.440675288531478,8.21512328043793,12.134285714285713,8.4,0,0,0.3111434331797235,0.8251335635460666,0.6441674351017771
2016,3,Supervisory Severely Adverse,35,35,0.04496360767240071,0.04101331915780568,0.04732788273387686,0.04040475802652739,3.437818145674341,3.2962184207747107,10.219324711468516,5.8989833488747765,10.525714285714287,6.5,0,5,0.5887701612903226,0.7618118285023989,0.5792143695327253
2017,2,Supervisory Adverse,36,36,0.0300331042679541,0.02696124305064232,0.050575986053020085,0.04467151706952775,1.9755637572337297,1.6976531777770607,10.88832513165516,7.781872115934778,11.122222222222222,7.7,0,0,0.37664370519713264,0.6492611777154477,0.4638103403402952
2017,3,Supervisory Severely Adverse,36,36,0.04516816323934571,0.042085333596737606,0.04461884640910349,0.03848353343324565,3.8119084649884964,3.600578227042578,9.051980423900392,5.8928213760523995,8.822222222222223,5.3,0,7,0.6186099910394265,1.2047902668641912,0.8028434818493737
2018,2,Supervisory Adverse,19,19,0.018952065759709445,0.02010644338803356,0.043134244559283136,0.04472596918173037,1.7189404798836225,1.0491110515825357,12.47579636222164,9.09182112010653,12.715789473684211,9.6,0,0,0.2881101443123939,0.8742858239815218,0.6366203679910193
2018,3,Supervisory Severely Adverse,19,19,0.03440027875655107,0.03565740553895305,0.03770845534447917,0.0395182942966352,3.486322678011122,3.009191149472274,10.70841416409414,7.0000838943649875,10.468421052631578,6,0,0,0.5030666383701189,0.9021609722116429,0.7701484121368734
2019,3,Supervisory Severely Adverse,34,34,0.045128771217287915,0.042273644777194086,0.04162905125337206,0.03562177888109683,2.73529411764706,2.280767679910867,10.402941176470586,6.786842734830648,10.402941176470588,5.4,0,1,0.5307311432637571,0.821533712758155,0.6893072973333845
2020,3,Supervisory Severely Adverse,35,35,0.0498570677619083,0.04734867993732255,0.0393165124132548,0.03314427377960667,2.793539209567868,2.509008658723257,10.716460790432132,5.557268147756542,10.687142857142858,5,0,2,0.5510714285714285,0.5785071787007979,0.4155521383594909
2020,30,Supervisory Alternative Severe,34,34,0.051310628190530325,0.048681404510599234,0.037437451106061025,0.0311981875995859,2.9544411764705782,2.5463805359650182,10.442617647058833,5.71751079685955,10.361764705882353,4.8,0,2,0.5818370493358633,0.9325781931114512,0.6333098865056069
2021,3,Supervisory Severely Adverse,34,34,0.0455180421145552,0.04269622976170978,0.04630890265478215,0.038239423040317855,2.691176470588235,2.591845270339559,10.941176470588236,6.807005204934353,10.941176470588236,6.8,0,1,0.516641959203036,0.9697455420639172,0.6302702655730151
2022,3,Supervisory Severely Adverse,24,24,0.03939359540205097,0.04208754529879511,0.034531902858393276,0.031085178617256314,3.091583333333334,2.961433731077296,10.91675,6.839885429453444,10.933333333333334,6.4,0,1,0.5358366935483871,0.6701748569807197,0.48866702794851
2023,3,Supervisory Severely Adverse,32,32,0.053082095586673254,0.04951401189817327,0.04020298272183032,0.03210242951360541,3.195343749999999,2.6798839302179713,9.870281250000001,6.0057389843914315,9.746875,5,0,3,0.6148405997983871,1.1462420855666786,0.6553139203035581
2024,3,Supervisory Severely Adverse,23,23,0.04404232324380698,0.04517144418249018,0.04729831451143154,0.04035778383052621,2.3434782608695643,2.108309824398484,12.243478260869566,8.33161022717624,12.18695652173913,7.8,0,0,0.4321046633941094,1.0583475116694647,0.6866911577435992
2025,3,Supervisory Severely Adverse,33,33,0.05182994742976107,0.04837855997951875,0.059626943745944766,0.05206207865878975,1.9620909090909078,1.945265257471116,11.42578787878788,6.700000000000003,11.463636363636363,6.7,0,1,0.43687988758553276,0.47688296404739194,0.3596789625367801
