component,duplicated_key,bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,key_count
credit_loss,FALSE,1025608,BancWest Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1025608,BancWest Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1026632,The Charles Schwab Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1026632,The Charles Schwab Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1026632,The Charles Schwab Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1026632,The Charles Schwab Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1026632,The Charles Schwab Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1027004,Zions Bancorporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1027004,Zions Bancorporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1027004,Zions Bancorporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1027004,Zions Bancorporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1032473,Deutsche Bank Trust Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1032473,Deutsche Bank Trust Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1032473,Deutsche Bank Trust Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1032473,Deutsche Bank Trust Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1036967,CIT Group Inc.,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1036967,CIT Group Inc.,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2019,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2020,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2020,30,Supervisory Alternative Severe,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2021,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2022,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2023,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2024,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1037003,M&T Bank Corporation,2025,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2015,2,Supervisory Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2015,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2016,2,Supervisory Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2016,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2017,2,Supervisory Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2017,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2018,2,Supervisory Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2018,3,Supervisory Severely Adverse,1
credit_loss,FALSE,1039502,JPMorgan Chase & Co.,2019,3,Supervisory Severely Adverse,1
