projection_block,projection_variable,observations,non_missing_observations,missing_share,mean_value,sd_value,min_value,max_value
CET1 capital ratio,integrated_predicted_cet1_gap,497,497,0,0.014543516428821224,0.8467241312715944,-2.603437608198595,5.072132156966866
CET1 capital ratio,integrated_predicted_cet1_min_ratio,497,497,0,10.696133053652161,4.751007605763841,5.557268147756542,61.155495208016724
CET1 capital ratio,observed_cet1_min_ratio,497,497,0,10.68158953722334,4.797579834319019,4.8,60.7
Capital depletion,actual_capital_depletion,497,497,0,2.6671498993963785,1.9617537018850937,-0.5509999999999998,9.251
Capital depletion,predicted_capital_depletion,497,497,0,2.6675490389031706,1.7985005255554067,-2.303853273398527,8.597576609127001
Capital depletion,residual_capital_depletion,497,497,0,-3.991395067924453e-4,0.7899449884169026,-2.603437608198595,4.465252648433868
Credit losses,actual_credit_loss_ratio,497,497,0,0.04196489851175017,0.028457981545507677,0.00164395095511235,0.15634525205158237
Credit losses,predicted_credit_loss_amount,497,497,0,26.536464651410054,75.61292236917657,-1.438879693987807,624.9000000000001
Credit losses,predicted_credit_loss_ratio,497,497,0,0.0418927485596583,0.027873820717138235,-0.01469286386902134,0.1563452520515823
Credit losses,residual_credit_loss_ratio,497,497,0,7.214995209186884e-5,0.005967728330983332,-0.02181059677945038,0.0253443138499223
PPNR,actual_ppnr_ratio,497,497,0,0.045016474290534375,0.0330204618877875,-0.01092412612187057,0.16941244239631306
PPNR,predicted_ppnr_amount,497,497,0,28.745462382742968,79.62705529562253,-1.801489663891765,719.0000000000005
PPNR,predicted_ppnr_ratio,497,497,0,0.04500941122531993,0.03156598858665036,-0.01714071992285219,0.17091873090289225
PPNR,residual_ppnr_ratio,497,497,0,7.063065214442062e-6,0.00934079680122772,-0.03941203578277895,0.04853346912388972
Stress margin,actual_net_stress_margin,497,497,0,0.003051575778784207,0.027116749112310497,-0.05974842767295597,0.13636363636363635
Stress margin,predicted_net_stress_margin,497,497,0,0.0031166626656616335,0.025168834844248696,-0.05926231313623561,0.09405980945302604
