required_column,exists
bank_rssd_id,TRUE
bank_name,TRUE
exercise_year,TRUE
scenario_code,TRUE
scenario_label,TRUE
actual_credit_loss_ratio,TRUE
predicted_credit_loss_ratio,TRUE
credit_loss_prediction_error,TRUE
abs_credit_loss_prediction_error,TRUE
actual_ppnr_ratio,TRUE
predicted_ppnr_ratio,TRUE
ppnr_prediction_error,TRUE
abs_ppnr_prediction_error,TRUE
actual_capital_depletion,TRUE
predicted_capital_depletion,TRUE
cet1_depletion_prediction_error,TRUE
abs_cet1_depletion_prediction_error,TRUE
observed_cet1_min_ratio,TRUE
integrated_predicted_cet1_min_ratio,TRUE
cet1_min_prediction_error,TRUE
abs_cet1_min_prediction_error,TRUE
cet1_min_validation_flag,TRUE
observed_below_4_5,TRUE
predicted_below_4_5,TRUE
observed_below_7,TRUE
predicted_below_7,TRUE
classification_match_4_5,TRUE
classification_match_7,TRUE
