exercise_year,observations,banks,scenarios,cet1_rmse,cet1_mae,cet1_bias,cet1_r2,cet1_correlation,high_precision_share,acceptable_or_better_share,high_model_risk_share,moderate_or_high_model_risk_share,threshold_4_5_accuracy,threshold_7_accuracy
2015,68,34,2,0.6844313550689645,0.5212721340688723,-5.511882649678598e-15,0.9719415487969814,0.9862834576937022,0.5882352941176471,0.8088235294117647,0.08823529411764706,0.25,1,0.9264705882352942
2016,70,35,2,0.7941041051828153,0.6116909023172512,-3.0451905103437426e-15,0.9915487229985459,0.9957691738844316,0.5428571428571428,0.8285714285714286,0.07142857142857142,0.21428571428571427,1,0.9571428571428572
2017,72,36,2,0.9677447142762235,0.6333269110948345,-0.0020694444444463813,0.8957584568392827,0.9466265811200428,0.5694444444444444,0.7916666666666666,0.08333333333333333,0.20833333333333334,1,0.9583333333333334
2018,38,19,2,0.88833274221907,0.7033843900639463,-4.1838042248045154e-15,0.9257022663401359,0.9637440525603342,0.4473684210526316,0.7631578947368421,0.05263157894736842,0.23684210526315788,1,0.9736842105263158
2019,34,34,1,0.821533712758155,0.6893072973333845,-1.4367344949065651e-15,0.9441687155502183,0.9729230083702937,0.35294117647058826,0.7352941176470589,0.058823529411764705,0.29411764705882354,1,0.9411764705882353
2020,69,35,2,0.7735045448876824,0.5228530577358379,0.054711995146738655,0.952721667728598,0.9762077453177679,0.6376811594202898,0.8695652173913043,0.057971014492753624,0.13043478260869565,1,0.9565217391304348
2021,34,34,1,0.9697455420639172,0.6302702655730151,2.612228506781327e-16,0.9442695269025454,0.971850647165563,0.6176470588235294,0.7647058823529411,0.08823529411764706,0.2647058823529412,1,0.9705882352941176
2022,24,24,1,0.6701748569807197,0.48866702794851,-0.016583333333333727,0.9747968385424937,0.9874256085763861,0.6666666666666666,0.875,0.08333333333333333,0.20833333333333334,1,0.9166666666666666
2023,32,32,1,1.1462420855666786,0.6553139203035581,0.1234062500000011,0.8926191373660531,0.948061842951888,0.65625,0.78125,0.125,0.28125,1,0.9375
2024,23,23,1,1.0583475116694647,0.6866911577435992,0.05652173913043547,0.9502318512113593,0.9750003564929031,0.391304347826087,0.8695652173913043,0.043478260869565216,0.13043478260869565,1,1
2025,33,33,1,0.47688296404739194,0.3596789625367801,-0.037848484848483625,0.9866931073533544,0.9941865649171074,0.696969696969697,0.9393939393939394,0,0.06060606060606061,1,1
