exercise_year,scenario_code,scenario_label,observations,banks,cet1_rmse,cet1_mae,cet1_bias,high_precision_share,acceptable_or_better_share,high_model_risk_share,threshold_7_accuracy
2015,2,Supervisory Adverse,34,34,0.6932038857644913,0.5187715162499863,0.06198615528237168,0.6176470588235294,0.7941176470588235,0.029411764705882353,1
2015,3,Supervisory Severely Adverse,34,34,0.6755449151345065,0.5237727518877584,-0.06198615528238271,0.5588235294117647,0.8235294117647058,0.14705882352941177,0.8529411764705882
2016,2,Supervisory Adverse,35,35,0.8251335635460666,0.6441674351017771,0.3063895742457633,0.4857142857142857,0.8,0.02857142857142857,1
2016,3,Supervisory Severely Adverse,35,35,0.7618118285023989,0.5792143695327253,-0.3063895742457694,0.6,0.8571428571428571,0.11428571428571428,0.9142857142857143
2017,2,Supervisory Adverse,36,36,0.6492611777154477,0.4638103403402952,-0.23389709056706315,0.6388888888888888,0.8333333333333334,0.027777777777777776,1
2017,3,Supervisory Severely Adverse,36,36,1.2047902668641912,0.8028434818493737,0.2297582016781704,0.5,0.75,0.1388888888888889,0.9166666666666666
2018,2,Supervisory Adverse,19,19,0.8742858239815218,0.6366203679910193,-0.23999311146257077,0.631578947368421,0.7894736842105263,0.05263157894736842,1
2018,3,Supervisory Severely Adverse,19,19,0.9021609722116429,0.7701484121368734,0.2399931114625624,0.2631578947368421,0.7368421052631579,0.05263157894736842,0.9473684210526315
2019,3,Supervisory Severely Adverse,34,34,0.821533712758155,0.6893072973333845,-1.4367344949065651e-15,0.35294117647058826,0.7352941176470589,0.058823529411764705,0.9411764705882353
2020,3,Supervisory Severely Adverse,35,35,0.5785071787007979,0.4155521383594909,0.02931793328927511,0.7142857142857143,0.9142857142857143,0.02857142857142857,0.9714285714285714
2020,30,Supervisory Alternative Severe,34,34,0.9325781931114512,0.6333098865056069,0.08085294117648054,0.5588235294117647,0.8235294117647058,0.08823529411764706,0.9411764705882353
2021,3,Supervisory Severely Adverse,34,34,0.9697455420639172,0.6302702655730151,2.612228506781327e-16,0.6176470588235294,0.7647058823529411,0.08823529411764706,0.9705882352941176
2022,3,Supervisory Severely Adverse,24,24,0.6701748569807197,0.48866702794851,-0.016583333333333727,0.6666666666666666,0.875,0.08333333333333333,0.9166666666666666
2023,3,Supervisory Severely Adverse,32,32,1.1462420855666786,0.6553139203035581,0.1234062500000011,0.65625,0.78125,0.125,0.9375
2024,3,Supervisory Severely Adverse,23,23,1.0583475116694647,0.6866911577435992,0.05652173913043547,0.391304347826087,0.8695652173913043,0.043478260869565216,1
2025,3,Supervisory Severely Adverse,33,33,0.47688296404739194,0.3596789625367801,-0.037848484848483625,0.696969696969697,0.9393939393939394,0,1
