required_column,exists
bank_rssd_id,TRUE
bank_name,TRUE
exercise_year,TRUE
exercise_quarter,TRUE
scenario_code,TRUE
scenario_label,TRUE
cet1_actual_ratio,TRUE
cet1_min_ratio,TRUE
cet1_depletion_min,TRUE
total_loan_losses_amount,TRUE
total_loan_losses_rate,TRUE
ppnr_amount,TRUE
ppnr_rate,TRUE
provision_amount,TRUE
pretax_net_income_amount,TRUE
rwa_actual_amount,TRUE
rwa_end_amount,TRUE
rwa_growth_rate,TRUE
ppnr_loss_absorption_ratio,TRUE
loan_loss_burden_on_ppnr,TRUE
observed_loss_burden_on_ppnr,TRUE
