variable,observations,non_missing,missing_share,mean_raw,median_raw,min_raw,max_raw,p01,p99
x_loan_loss_burden,665,665,0,0.8957170525833372,0.9159663865546218,-42.99999999999999,64,-8.484155844155843,5.573333333333341
x_observed_loss_burden,665,665,0,1.1910137272099,1.1111111111111112,-56,74,-9.212121212121211,9.051428571428573
x_ppnr_absorption,665,665,0,1.1586115785092632,0.8511410788381744,-0.85,17.4,-0.28854700854700854,7.031818181818187
x_ppnr_to_losses,665,664,0.0015037593984962407,1.9606384368608374,1,-2.428571428571429,49,-0.6477777777777778,21.205555555555556
x_provision_ratio,665,664,0.0015037593984962407,1.0700982647032344,1.081081081081081,0,1.4999999999999998,0.6709523809523809,1.393
x_rwa_growth,665,520,0.21804511278195488,0.02947504474562208,0.00542308917587676,-0.24613003095975225,0.4195205479452056,-0.11544340924775714,0.21145115760088848
y_capital_depletion,665,550,0.17293233082706766,2.767818181818182,2.4000000000000004,-1.8000000000000045,13.3,-0.5509999999999998,9.251
y_credit_loss_rate,665,665,0,5.832631578947368,5.6,0.5,21.3,1.064,16.680000000000007
y_credit_loss_ratio,665,520,0.21804511278195488,0.04220348278378731,0.03984332411999305,0,0.2083792723263506,0.0016439509551123507,0.15634525205158237
y_ppnr_rate,665,665,0,3.082706766917293,2.5,-2.8,21.4,-0.43599999999999994,14.9
y_ppnr_ratio,665,520,0.21804511278195488,0.04449536414096116,0.03786545027742211,-0.045576407506702415,0.24285714285714285,-0.010924126121870572,0.16941244239631306
y_pretax_margin,665,520,0.21804511278195488,-0.006968148196517499,-0.010002397710002508,-0.10723860589812333,0.13383838383838384,-0.07172955974842767,0.07522233029337666
