required_column,exists
bank_rssd_id,TRUE
bank_name,TRUE
exercise_year,TRUE
scenario_code,TRUE
scenario_label,TRUE
ppnr_model_sample,TRUE
y_ppnr_ratio,TRUE
y_ppnr_ratio_winsor,TRUE
y_ppnr_rate,TRUE
y_ppnr_rate_winsor,TRUE
x_initial_cet1,TRUE
x_initial_rwa,TRUE
x_rwa_growth,TRUE
x_rwa_growth_winsor,TRUE
x_ppnr_absorption,TRUE
x_ppnr_absorption_winsor,TRUE
x_loan_loss_burden,TRUE
x_loan_loss_burden_winsor,TRUE
x_observed_loss_burden,TRUE
x_observed_loss_burden_winsor,TRUE
x_provision_ratio,TRUE
x_provision_ratio_winsor,TRUE
ppnr_amount,TRUE
rwa_actual_amount,TRUE
total_loan_losses_amount,TRUE
pretax_net_income_amount,TRUE
