file_path,file_name,relative_directory,extension,exists,size_bytes,modified_at,search_zone,document_role,regulatory_relevant,non_empty,likely_official_download,likely_internal_note,likely_inventory
outputs/data_audit/us_source_catalog.csv,us_source_catalog.csv,outputs/data_audit,csv,TRUE,2133,2026-06-29 17:00:16,Data audit outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/data_audit/us_source_variable_map.csv,us_source_variable_map.csv,outputs/data_audit,csv,TRUE,7105,2026-06-29 17:00:16,Data audit outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/publication_package/script18_summary_sources.csv,script18_summary_sources.csv,outputs/publication_package,csv,TRUE,533,2026-06-30 09:17:38,Publication package outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/results/fed_2026_Detailed_Nine_Quarter_Paths.csv,fed_2026_Detailed_Nine_Quarter_Paths.csv,data/raw/fed/results,csv,TRUE,5619,2026-06-29 17:09:22,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/results/fed_public_results_DFAST_2026.csv,fed_public_results_DFAST_2026.csv,data/raw/fed/results,csv,TRUE,189591,2026-06-29 17:09:20,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Historic_Domestic.csv,fed_2026_Final_Historic_Domestic.csv,data/raw/fed/scenarios,csv,TRUE,16936,2026-06-29 17:09:22,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Historic_International.csv,fed_2026_Final_Historic_International.csv,data/raw/fed/scenarios,csv,TRUE,13050,2026-06-29 17:09:24,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Supervisory_Baseline_Domestic.csv,fed_2026_Final_Supervisory_Baseline_Domestic.csv,data/raw/fed/scenarios,csv,TRUE,1692,2026-06-29 17:09:24,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Supervisory_Baseline_International.csv,fed_2026_Final_Supervisory_Baseline_International.csv,data/raw/fed/scenarios,csv,TRUE,1496,2026-06-29 17:09:24,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,fed_2026_Final_Supervisory_Severely_Adverse_Domestic.csv,data/raw/fed/scenarios,csv,TRUE,1824,2026-06-29 17:09:24,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
data/raw/fed/scenarios/fed_2026_Final_Supervisory_Severely_Adverse_International.csv,fed_2026_Final_Supervisory_Severely_Adverse_International.csv,data/raw/fed/scenarios,csv,TRUE,1645,2026-06-29 17:09:24,Raw data folder,CSV data or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02b_execution_summary.csv,script02b_execution_summary.csv,outputs/regulatory_documentation,csv,TRUE,292,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02b_regulatory_documentation_outputs.xlsx,script02b_regulatory_documentation_outputs.xlsx,outputs/regulatory_documentation,xlsx,TRUE,22995,2026-06-29 18:37:28,Regulatory documentation outputs,Excel regulatory inventory or audit workbook,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_best_available_documents.csv,script02c_best_available_documents.csv,outputs/regulatory_documentation,csv,TRUE,900,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_document_inventory.csv,script02c_document_inventory.csv,outputs/regulatory_documentation,csv,TRUE,9616,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_download_log.csv,script02c_download_log.csv,outputs/regulatory_documentation,csv,TRUE,4579,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_download_summary.csv,script02c_download_summary.csv,outputs/regulatory_documentation,csv,TRUE,214,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_execution_summary.csv,script02c_execution_summary.csv,outputs/regulatory_documentation,csv,TRUE,327,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_fix_missing_regulatory_documentation_outputs.xlsx,script02c_fix_missing_regulatory_documentation_outputs.xlsx,outputs/regulatory_documentation,xlsx,TRUE,23279,2026-06-29 18:42:04,Regulatory documentation outputs,Excel regulatory inventory or audit workbook,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_fix_targets.csv,script02c_fix_targets.csv,outputs/regulatory_documentation,csv,TRUE,4463,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/script02c_group_status.csv,script02c_group_status.csv,outputs/regulatory_documentation,csv,TRUE,278,2026-06-29 18:42:04,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/us_regulatory_document_download_log.csv,us_regulatory_document_download_log.csv,outputs/regulatory_documentation,csv,TRUE,7512,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/us_regulatory_document_download_summary.csv,us_regulatory_document_download_summary.csv,outputs/regulatory_documentation,csv,TRUE,235,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/us_regulatory_document_failed_downloads.csv,us_regulatory_document_failed_downloads.csv,outputs/regulatory_documentation,csv,TRUE,770,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/us_regulatory_document_inventory.csv,us_regulatory_document_inventory.csv,outputs/regulatory_documentation,csv,TRUE,5979,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
outputs/regulatory_documentation/us_regulatory_document_targets.csv,us_regulatory_document_targets.csv,outputs/regulatory_documentation,csv,TRUE,9100,2026-06-29 18:37:26,Regulatory documentation outputs,CSV regulatory inventory or audit table,TRUE,TRUE,FALSE,FALSE,TRUE
