macro_variable,scenario,n_obs,n_non_missing,n_missing,min_value,max_value,mean_value,first_value,last_value
bbb_corporate_yield,baseline,13,13,0,5.2,5.6,5.476923076923077,5.2,5.6
bbb_corporate_yield,historic,200,149,51,2.3,10.9,6.155704697986577,NA,5.1
bbb_corporate_yield,severely_adverse,13,13,0,4.5,8.2,6.553846153846154,7.5,4.5
cpi_inflation_rate,baseline,13,13,0,2.2,3,2.4076923076923076,3,2.2
cpi_inflation_rate,historic,200,200,0,-8.9,16.7,3.6545,4.7,2.8
cpi_inflation_rate,severely_adverse,13,13,0,1,2.5,1.3,2.5,1.3
mortgage_rate,baseline,13,13,0,5.7,6.1,5.861538461538461,6.1,5.7
mortgage_rate,historic,200,200,0,2.8,17.8,7.643,8.9,6.2
mortgage_rate,severely_adverse,13,13,0,5.1,6,5.469230769230769,6,5.1
nominal_disposable_income_growth,baseline,13,13,0,4.3,6.2,4.615384615384615,6.2,4.3
nominal_disposable_income_growth,historic,200,200,0,-22.8,66.3,6.1905,9.6,3.9
nominal_disposable_income_growth,severely_adverse,13,13,0,0.2,4,2.3461538461538463,1.4,4
nominal_gdp_growth,baseline,13,13,0,4,4.8,4.3307692307692305,4.8,4.1
nominal_gdp_growth,historic,200,200,0,-29.1,39.9,6.053,14,4
nominal_gdp_growth,severely_adverse,13,13,0,-3.3,5.1,1.5384615384615383,-3.1,5.1
prime_rate,baseline,13,13,0,6,6.6,6.138461538461538,6.6,6
prime_rate,historic,200,200,0,3.3,20.3,7.337,6.8,7
prime_rate,severely_adverse,13,13,0,3.1,5.5,3.2846153846153845,5.5,3.1
real_disposable_income_growth,baseline,13,13,0,1.9,3.1,2.223076923076923,3.1,2.1
real_disposable_income_growth,historic,200,200,0,-27.3,59,2.964,5,1.1
real_disposable_income_growth,severely_adverse,13,13,0,-1.1,2.9,1.2538461538461538,-0.9,2.8
real_gdp_growth,baseline,13,13,0,1.9,2.1,1.9923076923076923,1.9,1.9
real_gdp_growth,historic,200,200,0,-28,34.9,2.846,9.3,1
real_gdp_growth,severely_adverse,13,13,0,-5.4,4,0.423076923076923,-5.4,3.9
unemployment_rate,baseline,13,13,0,4.2,4.6,4.3999999999999995,4.6,4.2
unemployment_rate,historic,200,200,0,3.5,13,6.069,7.7,4.5
unemployment_rate,severely_adverse,13,13,0,5.9,10,8.7,5.9,8
x3_month_treasury_rate,baseline,13,13,0,3,3.6,3.1384615384615384,3.6,3
x3_month_treasury_rate,historic,200,200,0,0,15.1,4.267,4.9,3.7
x3_month_treasury_rate,severely_adverse,13,13,0,0.1,2.5,0.2846153846153846,2.5,0.1
