bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,cet1_actual_ratio,cet1_min_ratio,cet1_depletion_min,total_loan_losses_amount,ppnr_amount,pretax_net_income_amount,ppnr_loss_absorption_ratio,rwa_growth_rate
NA,18 participating bank holding companies,2012,3,Supervisory Severely Adverse,NA,NA,NA,316.6,267.8,-194.1,0.579027027027027,NA
1562859,Ally Financial Inc.,2012,3,Supervisory Severely Adverse,NA,NA,NA,4.5,-3.7,-9.3,-0.7115384615384616,NA
1275216,American Express Company,2012,3,Supervisory Severely Adverse,NA,NA,NA,10.7,15.4,0.8,1.3873873873873874,NA
1074156,BB&T Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,5.9,7.1,0.6,1.1639344262295082,NA
1073757,Bank of America Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,57.5,24.1,-51.8,0.2848699763593381,NA
2277860,Capital One Financial Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,23.6,18.7,-0.8,0.7824267782426777,NA
1951350,Citigroup Inc.,2012,3,Supervisory Severely Adverse,NA,NA,NA,54.6,44,-28.6,0.5670103092783505,NA
1070345,Fifth Third Bancorp,2012,3,Supervisory Severely Adverse,NA,NA,NA,5.3,4.9,-0.3,0.9074074074074076,NA
1039502,JPMorgan Chase & Co.,2012,3,Supervisory Severely Adverse,NA,NA,NA,53.9,45,-32.3,0.5632040050062579,NA
1068025,KeyCorp,2012,3,Supervisory Severely Adverse,NA,NA,NA,3.9,2.5,-2.4,0.5555555555555556,NA
2162966,Morgan Stanley,2012,3,Supervisory Severely Adverse,NA,NA,NA,1.6,1.2,-19.4,0.06,NA
3242838,Regions Financial Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,5.4,3.1,-2.2,0.5636363636363636,NA
1111435,State Street Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,0.3,3,1.5,2.142857142857143,NA
1131787,"SunTrust Banks, Inc.",2012,3,Supervisory Severely Adverse,NA,NA,NA,7.4,4.6,-4.1,0.5679012345679012,NA
3587146,The Bank of New York Mellon Corporation,2012,3,Supervisory Severely Adverse,NA,NA,NA,1.2,6.8,5.5,4.857142857142858,NA
2380443,"The Goldman Sachs Group, Inc.",2012,3,Supervisory Severely Adverse,NA,NA,NA,2,14.4,-20.5,0.42105263157894746,NA
1069778,"The PNC Financial Services Group, Inc.",2012,3,Supervisory Severely Adverse,NA,NA,NA,10,9.8,-1.4,0.875,NA
1119794,U.S. Bancorp,2012,3,Supervisory Severely Adverse,NA,NA,NA,15.1,21.2,3.6,1.358974358974359,NA
1120754,Wells Fargo & Company,2012,3,Supervisory Severely Adverse,NA,NA,NA,53.8,45.9,-25.7,0.6891891891891893,NA
NA,30 participating bank holding companies,2013,2,Supervisory Adverse,NA,9.3,NA,266.5,444.3,92.4,1.251549295774648,NA
NA,30 participating bank holding companies,2013,3,Supervisory Severely Adverse,NA,7.9,NA,366.1,315.9,-217.1,0.631168831168831,NA
1562859,Ally Financial Inc.,2013,2,Supervisory Adverse,NA,8.8,NA,3.8,5.3,0.8,1.2619047619047619,NA
1562859,Ally Financial Inc.,2013,3,Supervisory Severely Adverse,NA,7.3,NA,5,3.6,-2.7,0.6428571428571429,NA
1275216,American Express Company,2013,2,Supervisory Adverse,NA,13.9,NA,8.9,22.6,11.1,2.539325842696629,NA
1275216,American Express Company,2013,3,Supervisory Severely Adverse,NA,12.9,NA,11.4,20.9,6,1.8333333333333333,NA
1074156,BB&T Corporation,2013,2,Supervisory Adverse,NA,9.3,NA,3.7,9.6,6,2.4615384615384612,NA
1074156,BB&T Corporation,2013,3,Supervisory Severely Adverse,NA,8.1,NA,5.2,7,1.4,1.3207547169811322,NA
1078529,"BBVA Compass Bancshares, Inc.",2013,2,Supervisory Adverse,NA,10.8,NA,1.8,2,0.2,1.0526315789473684,NA
1078529,"BBVA Compass Bancshares, Inc.",2013,3,Supervisory Severely Adverse,NA,8.6,NA,2.6,1.2,-1.8,0.4444444444444444,NA
1245415,BMO Financial Corp.,2013,2,Supervisory Adverse,NA,11.1,NA,2.4,2.4,0,0.923076923076923,NA
1245415,BMO Financial Corp.,2013,3,Supervisory Severely Adverse,NA,8.9,NA,3.3,1.5,-2.1,0.42857142857142855,NA
1073757,Bank of America Corporation,2013,2,Supervisory Adverse,NA,8.5,NA,40,56.2,5.4,1.0293040293040294,NA
1073757,Bank of America Corporation,2013,3,Supervisory Severely Adverse,NA,6.8,NA,54.9,31.4,-49.1,0.40102171136653897,NA
2277860,Capital One Financial Corporation,2013,2,Supervisory Adverse,NA,10,NA,18,25.3,4.5,1.3977900552486187,NA
2277860,Capital One Financial Corporation,2013,3,Supervisory Severely Adverse,NA,8,NA,22.8,21.2,-6,0.9177489177489176,NA
1951350,Citigroup Inc.,2013,2,Supervisory Adverse,NA,11.1,NA,43.4,46,-9.8,0.7692307692307693,NA
