bank_rssd_id,bank_name,exercise_year,scenario_code,scenario_label,ppnr_amount,total_loan_losses_amount,securities_losses_amount,trading_counterparty_losses_amount,other_losses_amount,total_observed_losses_amount,provision_amount,pretax_net_income_amount,implied_pretax_from_components,pretax_identity_gap
NA,18 participating bank holding companies,2012,3,Supervisory Severely Adverse,267.8,316.6,12.9,97,36,462.5,317.2,-194.1,-195.29999999999998,1.1999999999999886
1562859,Ally Financial Inc.,2012,3,Supervisory Severely Adverse,-3.7,4.5,0.7,0,0,5.2,5.1,-9.3,-9.5,0.1999999999999993
1275216,American Express Company,2012,3,Supervisory Severely Adverse,15.4,10.7,0,0,0.4,11.1,14.2,0.8,0.800000000000001,-9.992007221626409e-16
1074156,BB&T Corporation,2012,3,Supervisory Severely Adverse,7.1,5.9,0.1,0,0.1,6.1,6.4,0.6,0.49999999999999933,0.10000000000000064
1073757,Bank of America Corporation,2012,3,Supervisory Severely Adverse,24.1,57.5,0.5,14.1,12.5,84.6,49.7,-51.8,-52.7,0.9000000000000057
2277860,Capital One Financial Corporation,2012,3,Supervisory Severely Adverse,18.7,23.6,0.3,0,0,23.900000000000002,26.4,-0.8,-7.999999999999999,7.199999999999999
1951350,Citigroup Inc.,2012,3,Supervisory Severely Adverse,44,54.6,4.4,15.9,2.7,77.60000000000001,49.4,-28.6,-28.4,-0.20000000000000284
1070345,Fifth Third Bancorp,2012,3,Supervisory Severely Adverse,4.9,5.3,0.1,0,0,5.3999999999999995,5.1,-0.3,-0.29999999999999927,-7.216449660063518e-16
1039502,JPMorgan Chase & Co.,2012,3,Supervisory Severely Adverse,45,53.9,0.9,23.5,1.6,79.89999999999999,51.3,-32.3,-32.3,0
1068025,KeyCorp,2012,3,Supervisory Severely Adverse,2.5,3.9,0,0,0.6,4.5,4.3,-2.4,-2.4,0
2162966,Morgan Stanley,2012,3,Supervisory Severely Adverse,1.2,1.6,0,11.7,6.7,20,2.3,-19.4,-19.5,0.10000000000000142
3242838,Regions Financial Corporation,2012,3,Supervisory Severely Adverse,3.1,5.4,0.1,0,0,5.5,5.2,-2.2,-2.2,0
1111435,State Street Corporation,2012,3,Supervisory Severely Adverse,3,0.3,0.4,0,0.7,1.4,0.4,1.5,1.5000000000000002,-2.220446049250313e-16
1131787,"SunTrust Banks, Inc.",2012,3,Supervisory Severely Adverse,4.6,7.4,0,0,0.7,8.1,7.9,-4.1,-4.000000000000001,-0.09999999999999876
3587146,The Bank of New York Mellon Corporation,2012,3,Supervisory Severely Adverse,6.8,1.2,0.2,0,0,1.4,1.1,5.5,5.499999999999999,8.881784197001252e-16
2380443,"The Goldman Sachs Group, Inc.",2012,3,Supervisory Severely Adverse,14.4,2,0.2,24.9,7.1,34.199999999999996,2.6,-20.5,-20.4,-0.10000000000000142
1069778,"The PNC Financial Services Group, Inc.",2012,3,Supervisory Severely Adverse,9.8,10,0.8,0,0.4,11.200000000000001,9.8,-1.4,-1.2000000000000002,-0.19999999999999973
1119794,U.S. Bancorp,2012,3,Supervisory Severely Adverse,21.2,15.1,0.2,0,0.3,15.6,17.2,3.6,3.5,0.10000000000000009
1120754,Wells Fargo & Company,2012,3,Supervisory Severely Adverse,45.9,53.8,3.9,6.9,2,66.6,58.8,-25.7,-25.699999999999996,-3.552713678800501e-15
NA,30 participating bank holding companies,2013,2,Supervisory Adverse,444.3,266.5,6.6,57.4,24.5,355,263.4,92.4,92.40000000000003,-2.842170943040401e-14
NA,30 participating bank holding companies,2013,3,Supervisory Severely Adverse,315.9,366.1,7,98.1,29.3,500.50000000000006,398.6,-217.1,-217.10000000000005,5.684341886080802e-14
1562859,Ally Financial Inc.,2013,2,Supervisory Adverse,5.3,3.8,0.4,0,0,4.2,4.1,0.8,0.8000000000000002,-1.1102230246251565e-16
1562859,Ally Financial Inc.,2013,3,Supervisory Severely Adverse,3.6,5,0.6,0,0,5.6,5.7,-2.7,-2.7,0
1275216,American Express Company,2013,2,Supervisory Adverse,22.6,8.9,0,0,0,8.9,11.5,11.1,11.100000000000001,-1.7763568394002505e-15
1275216,American Express Company,2013,3,Supervisory Severely Adverse,20.9,11.4,0,0,0,11.4,14.9,6,5.999999999999998,1.7763568394002505e-15
1074156,BB&T Corporation,2013,2,Supervisory Adverse,9.6,3.7,0,0,0.2,3.9000000000000004,3.4,6,5.999999999999999,8.881784197001252e-16
1074156,BB&T Corporation,2013,3,Supervisory Severely Adverse,7,5.2,0,0,0.1,5.3,5.5,1.4,1.4,0
