transmission_block,transmission_variable,observations,non_missing_observations,missing_share,n_banks,n_years,mean_value,sd_value,min_value,max_value
Capital and solvency,cet1_actual_ratio,665,550,0.17293233082706766,61,14,13.406181818181818,5.015865353975667,8.4,64.4
Capital and solvency,cet1_depletion_end,665,550,0.17293233082706766,61,14,2.0432727272727274,2.490422495480309,-10,13.3
Capital and solvency,cet1_depletion_min,665,550,0.17293233082706766,61,14,2.767818181818182,2.1087468035864414,-1.8000000000000043,13.3
Capital and solvency,cet1_end_ratio,665,646,0.02857142857142857,61,14,11.187306501547988,4.961919470007689,4.6,60.7
Capital and solvency,cet1_min_ratio,665,646,0.02857142857142857,61,14,10.51532507739938,4.514977363380161,4.6,60.7
Capital and solvency,leverage_depletion_end,665,665,0,61,14,1.441203007518797,1.4275426678967043,-5.899999999999999,7.1
Capital and solvency,leverage_depletion_min,665,665,0,61,14,1.7790977443609022,1.1672485014883645,-0.6000000000000005,7.1
Capital and solvency,supp_leverage_actual_ratio,665,219,0.6706766917293233,61,14,7.6776255707762555,1.7680658136916088,5.2,16.4
Capital and solvency,supp_leverage_end_ratio,665,289,0.5654135338345865,61,14,6.4910034602076125,1.61371789601053,2.4,13.1
Capital and solvency,supp_leverage_min_ratio,665,289,0.5654135338345865,61,14,6.056055363321799,1.4645722535310945,2.4,12.2
Capital and solvency,tier1_actual_ratio,665,665,0,61,14,14.734586466165414,5.526628380117936,9.8,64.4
Capital and solvency,tier1_depletion_end,665,665,0,61,14,2.1210526315789475,2.4207328818931586,-10,12.399999999999999
Capital and solvency,tier1_depletion_min,665,665,0,61,14,2.7882706766917296,2.0792681865704647,-1.7999999999999972,12.399999999999999
Capital and solvency,tier1_end_ratio,665,665,0,61,14,12.613533834586466,5.590821624679958,5.4,60.7
Capital and solvency,tier1_leverage_actual_ratio,665,665,0,61,14,9.252781954887219,1.7800252779203247,5.2,19.8
Capital and solvency,tier1_leverage_end_ratio,665,665,0,61,14,7.811578947368421,1.9688465379296491,3,18.4
Capital and solvency,tier1_leverage_min_ratio,665,665,0,61,14,7.473684210526316,1.823932875702004,3,14.9
Capital and solvency,tier1_min_ratio,665,665,0,61,14,11.946315789473685,5.15237889168686,5.4,60.7
Capital and solvency,total_capital_actual_ratio,665,665,0,61,14,16.844060150375938,5.228314224961111,11.8,64.7
Capital and solvency,total_capital_depletion_end,665,665,0,61,14,2.184511278195489,2.4576443522807176,-10.399999999999999,12
Capital and solvency,total_capital_depletion_min,665,665,0,61,14,2.7974436090225563,2.116567483652346,-2,12
Capital and solvency,total_capital_end_ratio,665,665,0,61,14,14.659548872180451,5.258590485345168,7.2,61.3
Capital and solvency,total_capital_min_ratio,665,665,0,61,14,14.046616541353384,4.827312306786882,7.2,61.3
Income and PPNR,net_interest_income_amount,665,310,0.5338345864661654,61,14,57.61516129032258,154.06917097773578,-0.9,1270.4
Income and PPNR,noninterest_expense_amount,665,310,0.5338345864661654,61,14,85.56677419354838,223.86667009595635,6.6,1546.1
Income and PPNR,noninterest_income_amount,665,310,0.5338345864661654,61,14,57.23193548387097,149.1938624356739,1.2,994.8
Income and PPNR,other_revenue_amount,665,632,0.04962406015037594,61,14,0.024525316455696205,0.1714571538838968,-0.1,1.6
Income and PPNR,ppnr_amount,665,665,0,61,14,27.526315789473685,76.27463210150151,-3.7,719
Income and PPNR,ppnr_rate,665,665,0,61,14,3.082706766917293,2.898382163967156,-2.8,21.4
Income and PPNR,pretax_income_to_ppnr_ratio,665,665,0,61,14,-0.23055351043491432,5.324105974270391,-73,62.99999999999999
Income and PPNR,pretax_net_income_amount,665,665,0,61,14,-5.153233082706767,32.342991818978625,-270.3,214.3
Income and PPNR,pretax_net_income_rate,665,665,0,61,14,-0.35789473684210527,1.8383060287036108,-7.1,9.3
Losses and provisions,loan_loss_burden_on_ppnr,665,665,0,61,14,0.8957170525833372,3.877291075004664,-42.99999999999999,64
Losses and provisions,observed_loss_burden_on_ppnr,665,665,0,61,14,1.1910137272099,5.1185215348995285,-56,74
Losses and provisions,other_losses_amount,665,665,0,61,14,1.565563909774436,4.710450668705702,-0.1,42.7
Losses and provisions,ppnr_loss_absorption_ratio,665,665,0,61,14,1.1586115785092632,1.3062428839832054,-0.85,17.4
Losses and provisions,provision_amount,665,665,0,61,14,25.51218045112782,71.60913601244827,0,634.7
Losses and provisions,provision_to_loan_loss_ratio,665,664,0.0015037593984962407,61,14,1.0700982647032344,0.14943859106622195,0,1.4999999999999998
Losses and provisions,securities_losses_amount,665,665,0,61,14,0.4263157894736842,1.4054805987205357,-0.3,17.8
Losses and provisions,total_loan_losses_amount,665,665,0,61,14,25.046165413533835,70.57019120442585,0,624.9
Losses and provisions,total_loan_losses_rate,665,665,0,61,14,5.832631578947368,3.0621479130621934,0.5,21.3
Losses and provisions,total_market_operational_losses_amount,665,665,0,61,14,7.196390977443609,20.77807403127913,-0.3,149.8
Losses and provisions,total_observed_losses_amount,665,665,0,61,14,32.24255639097744,90.00790883635491,0.3,708
Losses and provisions,trading_counterparty_losses_amount,665,665,0,61,14,5.204511278195489,15.311097561356652,0,113
Other,aoci_actual_amount,665,612,0.07969924812030076,61,14,-3.4450980392156865,11.761466897926773,-98,6
Other,aoci_change_amount,665,612,0.07969924812030076,61,14,0.3972222222222222,5.564663070337623,-35.599999999999994,58
Other,aoci_end_amount,665,646,0.02857142857142857,61,14,-3.0744582043343653,10.634932097279902,-92.7,11.6
Risk-weighted assets,rwa_actual_amount,665,520,0.21804511278195488,61,14,658.5126923076923,1793.9698574915112,12.1,12583.7
Risk-weighted assets,rwa_change_amount,665,520,0.21804511278195488,61,14,18.683461538461543,101.09898198078709,-133.6999999999989,1112.5
Risk-weighted assets,rwa_end_amount,665,646,0.02857142857142857,61,14,666.727399380805,1820.1021984020445,13,12541.2
Risk-weighted assets,rwa_growth_rate,665,520,0.21804511278195488,61,14,0.02947504474562208,0.06577658664692086,-0.24613003095975222,0.4195205479452056
